employee_id,department,job_role,location,hire_date,age,gender,monthly_salary,performance_rating,overtime,absence_days,left_company
E0037,IT,Coordinator,Khulna,2024-06-13,56,Male,23516.94,3,No,2,0
E0038,Operations,Manager,Khulna,2019-11-14,26,Female,57849.5,4,Yes,15,0
E0039,IT,Manager,Dhaka,2025-07-17,31,Male,75820.76,3,No,21,0
E0040,Operations,Manager,Chattogram,2020-05-13,23,Male,33350.69,5,No,2,0
E0041,Operations,Analyst,Khulna,2025-07-16,56,Male,72061.89,3,No,20,0
E0042,Finance,Analyst,Dhaka,2023-07-17,47,Male,85545.91,4,No,11,0
E0043,Operations,Manager,Khulna,2021-03-27,48,Male,36973.48,5,Yes,14,1
E0044,Operations,Analyst,Khulna,2025-06-21,58,Male,55931.94,2,No,10,0
E0045,Sales,Manager,Chattogram,2018-10-31,44,Female,71609.83,3,No,19,0
E0046,Programs,Analyst,Chattogram,2018-01-02,49,Male,86979.62,3,Yes,6,0
E0047,Sales,Officer,Rajshahi,2022-12-14,45,Female,77505.89,3,No,10,0
E0048,Finance,Manager,Dhaka,2023-11-03,41,Female,71831.85,5,Yes,6,0
E0049,HR,Officer,Khulna,2024-03-21,23,Male,69898.4,5,No,3,0
E0050,Operations,Officer,Dhaka,2019-09-27,35,Female,92091.07,4,No,20,0
E0051,Programs,Analyst,Dhaka,2025-08-18,55,Female,91685.47,5,No,16,0
E0052,IT,Analyst,Khulna,2020-05-28,56,Female,71984.29,2,Yes,9,0
E0053,Sales,Analyst,Dhaka,2021-07-31,23,Female,39627.55,2,Yes,18,0
E0054,Programs,Manager,Rajshahi,2018-12-03,27,Female,91243.52,5,No,18,0
E0055,Sales,Officer,Dhaka,2024-12-07,41,Male,99726.64,4,No,12,0
E0056,Operations,Specialist,Khulna,2020-12-18,57,Male,105532.31,2,No,1,0
E0057,Sales,Specialist,Rajshahi,2025-02-15,21,Male,69079.82,4,Yes,16,0
E0058,IT,Specialist,Rajshahi,2019-09-02,34,Female,81491.31,3,No,7,0
E0059,Finance,Specialist,Chattogram,2020-08-17,27,Male,27772.67,4,No,20,0
E0060,Finance,Officer,Chattogram,2020-05-12,21,Female,32781.69,4,Yes,7,0
E0061,IT,Officer,Rajshahi,2022-06-03,39,Male,98897.51,2,No,15,0
E0062,HR,Coordinator,Khulna,2024-01-19,21,Male,84542.94,2,Yes,12,0
E0063,Programs,Analyst,Dhaka,2018-11-19,54,Female,85189.47,5,No,2,0
E0064,HR,Officer,Khulna,2021-02-11,22,Female,38173.68,4,No,3,1
E0065,Finance,Analyst,Khulna,2020-08-10,27,Male,49465.51,2,No,9,0
E0066,Operations,Coordinator,Rajshahi,2023-02-16,36,Female,108958.63,2,No,12,0
E0067,Finance,Specialist,Dhaka,2021-07-27,50,Male,115126.34,3,No,2,0
E0068,HR,Officer,Dhaka,2023-05-05,48,Female,82618.75,2,No,14,0
E0069,Operations,Specialist,Rajshahi,2022-06-04,38,Female,23773.65,3,No,16,0
E0070,Programs,Officer,Chattogram,2021-07-24,38,Male,35284.6,4,Yes,3,0
E0071,Operations,Coordinator,Khulna,2018-02-16,22,Female,109375.62,3,No,11,0
E0072,Programs,Manager,Chattogram,2019-02-14,57,Female,61447.35,5,No,21,0
E0073,HR,Coordinator,Chattogram,2018-11-13,57,Female,61076.79,4,Yes,2,0
E0074,Sales,Officer,Dhaka,2021-11-16,22,Female,118739.05,3,No,15,0
E0075,Programs,Analyst,Dhaka,2025-02-03,36,Male,55792.55,4,Yes,20,0
E0076,Programs,Analyst,Rajshahi,2019-05-23,51,Female,104739.09,2,No,11,0
E0077,HR,Manager,Rajshahi,2023-05-29,35,Male,85099.61,3,No,13,0
E0078,IT,Manager,Khulna,2018-05-30,48,Female,61887.24,3,Yes,1,0
E0079,Operations,Coordinator,Khulna,2021-08-15,51,Female,49057.64,4,Yes,16,0
E0080,Programs,Specialist,Rajshahi,2019-06-27,53,Female,98554.81,2,Yes,6,0
E0081,Programs,Analyst,Chattogram,2025-04-14,44,Female,76999.07,5,No,19,0
E0082,IT,Analyst,Chattogram,2018-02-03,50,Female,90357.31,3,No,21,0
E0083,IT,Officer,Dhaka,2023-12-20,46,Female,59669.77,4,No,4,0
E0084,HR,Manager,Dhaka,2025-05-06,45,Female,108070.94,4,Yes,16,0
E0085,Finance,Coordinator,Dhaka,2019-09-15,25,Male,49281.59,3,No,3,0
E0086,Programs,Officer,Rajshahi,2024-03-10,57,Male,90256.6,4,No,6,0
E0087,HR,Analyst,Rajshahi,2023-03-01,46,Male,86716.62,4,No,18,0
E0088,HR,Officer,Rajshahi,2019-03-11,35,Male,103260.3,4,No,7,0
E0089,Sales,Specialist,Chattogram,2020-04-10,27,Female,52483.95,4,Yes,6,0
E0090,Programs,Analyst,Dhaka,2021-05-08,32,Male,36528.37,3,No,4,0
E0091,Operations,Analyst,Chattogram,2022-03-03,37,Male,33867.43,2,No,20,1
E0092,IT,Officer,Chattogram,2019-08-21,42,Male,41008.85,4,Yes,21,0
E0093,Finance,Specialist,Rajshahi,2025-08-30,57,Female,65998.72,5,Yes,21,0
E0094,Sales,Specialist,Khulna,2023-07-02,55,Male,54871.34,3,Yes,4,0
E0095,Programs,Specialist,Rajshahi,2024-12-21,49,Male,23847.09,3,Yes,15,0
E0096,Programs,Specialist,Rajshahi,2018-08-25,25,Male,73736.09,5,Yes,4,0
E0097,Programs,Specialist,Dhaka,2020-11-09,55,Male,97172.6,3,No,4,0
E0098,Programs,Officer,Khulna,2020-10-08,24,Male,61508.56,3,No,5,0
E0099,HR,Officer,Dhaka,2018-12-14,38,Female,106863.97,4,No,9,1
E0100,Sales,Officer,Chattogram,2019-04-21,44,Female,58886.77,3,No,2,0
E0101,HR,Analyst,Rajshahi,2020-10-17,57,Female,53291.08,4,Yes,18,0
E0102,IT,Specialist,Rajshahi,2022-08-26,47,Female,106790.85,5,Yes,1,0
E0103,Sales,Analyst,Rajshahi,2022-08-07,45,Male,44600.63,5,No,3,1
E0104,Operations,Manager,Rajshahi,2024-03-29,37,Female,101460.81,3,No,4,0
E0105,IT,Coordinator,Rajshahi,2022-09-20,30,Female,47793.1,2,No,4,0
E0106,Operations,Coordinator,Dhaka,2021-11-21,26,Male,79559.83,3,Yes,10,0
E0107,Sales,Specialist,Khulna,2020-05-25,30,Female,22835.23,3,No,7,0
E0108,IT,Coordinator,Dhaka,2023-07-22,40,Female,40550.2,3,No,2,0
E0109,IT,Specialist,Chattogram,2024-12-27,40,Male,89346.63,4,No,5,0
E0110,HR,Officer,Chattogram,2019-11-07,42,Male,69724.65,4,No,17,0
E0111,HR,Officer,Dhaka,2022-01-14,44,Female,106732.8,5,Yes,0,0
E0112,IT,Specialist,Khulna,2020-08-20,49,Female,58280.81,5,No,16,1
E0113,Programs,Analyst,Khulna,2020-12-12,56,Female,88258.14,4,No,21,0
E0114,Programs,Officer,Chattogram,2024-01-30,22,Male,79881.19,5,No,7,0
E0115,Sales,Analyst,Khulna,2018-05-14,58,Female,119042.63,2,Yes,20,0
E0116,Programs,Specialist,Rajshahi,2019-03-11,51,Male,117773.45,4,No,3,0
E0117,Programs,Coordinator,Khulna,2022-03-09,38,Male,66286.04,3,No,21,0
E0118,Operations,Manager,Dhaka,2019-08-19,27,Female,44518.45,3,No,3,0
E0119,Programs,Analyst,Dhaka,2019-09-26,47,Male,60457.05,2,Yes,20,0
E0120,Programs,Analyst,Khulna,2022-10-23,29,Female,22906.26,5,No,7,0
E0121,Sales,Coordinator,Dhaka,2018-11-05,44,Female,41406.86,3,Yes,20,0
E0122,Sales,Specialist,Chattogram,2019-12-23,45,Female,63695.71,4,Yes,3,0
E0123,Sales,Officer,Rajshahi,2021-10-29,42,Male,44449.26,3,Yes,18,0
E0124,Sales,Analyst,Rajshahi,2020-01-20,57,Female,60085.99,3,Yes,8,0
E0125,IT,Coordinator,Rajshahi,2024-03-26,23,Male,106569.96,3,Yes,10,0
E0126,HR,Analyst,Rajshahi,2023-06-03,48,Male,50921.6,4,No,16,0
E0127,IT,Specialist,Khulna,2023-04-01,51,Male,32767.36,4,No,18,0
E0128,Sales,Officer,Rajshahi,2021-06-24,58,Male,95463.02,5,Yes,1,0
E0129,Finance,Coordinator,Chattogram,2020-12-14,54,Male,77459.05,3,No,15,0
E0130,Sales,Officer,Dhaka,2021-07-22,21,Male,52889.14,4,No,19,0
E0131,Operations,Coordinator,Dhaka,2020-06-28,40,Male,79977.52,4,Yes,9,0
E0132,IT,Analyst,Rajshahi,2025-06-04,31,Female,34466.61,3,Yes,3,0
E0133,Finance,Coordinator,Chattogram,2020-07-26,21,Female,54584.59,3,No,21,0
E0134,Sales,Analyst,Dhaka,2020-07-10,36,Male,43586.54,3,Yes,13,0
E0135,Operations,Analyst,Khulna,2019-01-17,21,Female,34944.63,3,No,7,0
E0136,Programs,Analyst,Rajshahi,2018-02-26,42,Female,78214.46,3,No,20,0
E0137,IT,Coordinator,Dhaka,2023-08-24,22,Male,43941.32,3,No,12,0
E0138,Finance,Analyst,Rajshahi,2018-08-05,28,Male,94233.29,5,Yes,10,1
E0139,Finance,Analyst,Dhaka,2018-02-18,32,Female,79273.91,3,No,7,1
E0140,HR,Manager,Dhaka,2023-10-08,49,Female,109302.32,2,No,18,0
E0141,Operations,Officer,Khulna,2019-08-23,30,Male,64294.87,4,Yes,3,1
E0142,Sales,Officer,Khulna,2025-02-07,39,Male,118675.94,3,Yes,20,1
E0143,HR,Officer,Dhaka,2022-05-09,32,Male,55598.82,3,No,17,0
E0144,HR,Officer,Khulna,2024-11-16,48,Male,53485.07,3,No,4,0
E0145,Operations,Manager,Dhaka,2020-10-02,24,Male,68712.59,3,Yes,13,0
E0146,IT,Specialist,Dhaka,2024-04-30,37,Female,70947.18,3,No,2,0
E0147,Sales,Officer,Chattogram,2019-11-30,36,Male,74901.38,4,No,1,0
E0148,HR,Specialist,Rajshahi,2023-03-07,39,Female,25471.25,2,No,6,0
E0149,Operations,Analyst,Khulna,2019-09-02,34,Male,50742.33,2,No,12,0
E0150,IT,Specialist,Dhaka,2019-01-01,33,Female,62875.36,2,No,4,0
E0151,Operations,Officer,Rajshahi,2019-10-07,43,Female,83562.31,4,Yes,0,0
E0152,IT,Officer,Khulna,2023-11-10,42,Female,79430.12,3,Yes,8,0
E0153,Programs,Analyst,Khulna,2021-08-16,28,Male,118688.06,4,No,9,0
E0154,Finance,Specialist,Chattogram,2020-09-19,55,Female,33792.94,3,No,16,0
E0155,Operations,Specialist,Khulna,2024-07-09,29,Female,53082.27,2,No,20,0
E0156,Finance,Analyst,Dhaka,2025-02-19,37,Male,50935.06,3,No,16,0
E0157,Sales,Officer,Dhaka,2019-08-20,25,Female,79511.48,2,Yes,14,0
E0158,IT,Manager,Khulna,2022-09-13,57,Male,56199.63,5,No,2,0
E0159,Finance,Coordinator,Chattogram,2025-03-17,58,Female,31259.49,3,Yes,13,0
E0160,HR,Coordinator,Khulna,2024-03-19,53,Male,84379.09,3,No,2,0
E0161,Sales,Manager,Chattogram,2018-09-18,29,Female,83053.88,4,No,11,0
E0162,Programs,Manager,Rajshahi,2019-08-12,42,Female,32701.91,4,Yes,15,1
E0163,HR,Specialist,Dhaka,2020-04-24,42,Male,95040.3,4,No,18,0
E0164,HR,Analyst,Rajshahi,2021-12-23,35,Male,35859.03,2,No,1,1
E0165,IT,Officer,Khulna,2018-05-12,54,Male,63388.57,5,No,17,0
E0166,Operations,Analyst,Dhaka,2020-03-25,30,Male,84993.71,4,No,13,0
E0167,IT,Officer,Chattogram,2021-01-20,23,Female,45167.28,4,No,6,1
E0168,Sales,Manager,Dhaka,2018-01-03,48,Female,87085.72,3,Yes,11,1
E0169,Operations,Manager,Chattogram,2024-09-23,44,Female,69438.49,3,Yes,2,0
E0170,Finance,Specialist,Chattogram,2025-04-19,30,Male,117666.91,3,Yes,19,0
E0171,Operations,Specialist,Dhaka,2024-08-15,36,Male,35538.03,4,No,5,1
E0172,Operations,Manager,Dhaka,2023-06-09,54,Female,77233.14,3,Yes,14,0
E0173,HR,Manager,Chattogram,2023-12-16,41,Female,118939.99,5,Yes,4,0
E0174,Finance,Coordinator,Khulna,2025-05-30,28,Male,119606.13,3,No,19,0
E0175,HR,Manager,Dhaka,2024-07-20,35,Female,54842.57,5,No,7,0
E0176,Finance,Analyst,Chattogram,2024-12-22,41,Female,59985.92,5,Yes,4,1
E0177,HR,Analyst,Chattogram,2021-10-03,35,Male,113613.43,2,Yes,5,0
E0178,HR,Coordinator,Chattogram,2019-03-10,51,Female,53709.22,3,No,10,0
E0179,Programs,Coordinator,Rajshahi,2022-09-09,26,Male,36534.29,3,No,16,0
E0180,Sales,Coordinator,Khulna,2018-01-24,44,Female,116722.81,4,No,16,0
E0181,IT,Manager,Dhaka,2021-08-30,34,Male,64488.07,3,Yes,19,0
E0182,Sales,Coordinator,Chattogram,2020-01-29,46,Male,38229.68,2,Yes,4,1
E0183,Programs,Analyst,Rajshahi,2024-04-21,35,Female,80761.72,4,No,9,0
E0184,Programs,Coordinator,Rajshahi,2021-08-17,22,Male,85984.53,3,Yes,16,0
E0185,Operations,Coordinator,Chattogram,2022-06-03,52,Female,97907.35,3,No,0,0
E0186,Sales,Specialist,Rajshahi,2019-02-05,38,Female,46048.07,4,No,3,0
E0187,IT,Manager,Dhaka,2021-07-19,33,Male,116921.22,4,No,10,0
E0188,HR,Specialist,Khulna,2024-06-20,40,Male,57109.57,5,No,7,0
E0189,Operations,Officer,Khulna,2021-09-23,49,Male,43440.62,4,No,7,0
E0190,Operations,Coordinator,Chattogram,2019-12-28,46,Female,117312.36,3,Yes,19,0
E0191,HR,Manager,Rajshahi,2021-02-06,40,Female,118540.43,2,No,6,0
E0192,HR,Analyst,Rajshahi,2024-05-17,41,Male,102216.45,5,No,19,0
E0193,IT,Coordinator,Dhaka,2018-02-13,41,Female,89619.8,5,No,5,0
E0194,Finance,Analyst,Dhaka,2018-12-01,45,Male,100622.8,3,No,9,0
E0195,Operations,Specialist,Khulna,2019-11-26,40,Male,24146.6,3,No,0,0
E0196,Programs,Officer,Khulna,2018-11-15,41,Female,66151.99,3,No,21,0
E0197,Finance,Specialist,Rajshahi,2023-09-01,45,Female,67175.95,3,No,4,0
E0198,HR,Officer,Chattogram,2018-03-04,36,Male,42099.89,4,No,18,0
E0199,Sales,Analyst,Dhaka,2025-06-30,45,Male,27541.18,5,No,7,0
E0200,HR,Officer,Khulna,2024-01-23,45,Female,91853.26,5,No,14,0
E0201,IT,Officer,Rajshahi,2021-07-02,31,Female,22072.15,3,No,18,1
E0202,IT,Coordinator,Dhaka,2024-05-31,42,Male,88721.61,2,Yes,17,0
E0203,HR,Officer,Khulna,2018-12-28,34,Male,67014.0,3,No,4,0
E0204,Finance,Manager,Chattogram,2022-09-22,25,Female,113333.85,2,No,10,0
E0205,HR,Coordinator,Rajshahi,2024-12-20,57,Female,118144.11,5,No,20,0
E0206,IT,Manager,Rajshahi,2019-10-19,52,Male,29258.82,4,Yes,0,1
E0207,IT,Manager,Dhaka,2020-05-16,36,Female,110030.71,3,Yes,12,1
E0208,Sales,Analyst,Dhaka,2023-10-29,31,Male,106249.58,3,Yes,19,0
E0209,Programs,Officer,Chattogram,2020-01-16,30,Female,87977.14,3,Yes,16,0
E0210,HR,Manager,Rajshahi,2021-09-21,54,Male,71440.08,3,No,18,0
E0211,Sales,Analyst,Chattogram,2018-02-27,37,Male,92728.76,4,No,21,0
E0212,Sales,Officer,Dhaka,2021-05-17,51,Female,103882.36,3,No,0,0
E0213,Finance,Manager,Chattogram,2021-07-02,38,Female,98640.61,3,No,18,0
E0214,IT,Officer,Dhaka,2018-10-03,46,Male,105203.29,3,No,2,0
E0215,Operations,Manager,Dhaka,2019-08-18,51,Female,110046.79,3,No,1,0
E0216,IT,Analyst,Rajshahi,2025-03-24,39,Female,79477.57,2,Yes,11,0
E0217,Operations,Manager,Rajshahi,2021-08-31,47,Male,72287.42,3,Yes,13,0
E0218,Programs,Specialist,Dhaka,2018-07-29,29,Female,91246.84,4,No,1,0
E0219,Finance,Specialist,Rajshahi,2019-06-18,35,Female,67327.48,5,No,13,1
E0220,IT,Officer,Chattogram,2022-06-18,54,Female,65035.1,4,No,12,0
E0221,Finance,Specialist,Chattogram,2020-12-21,24,Female,69792.53,4,No,17,0
E0222,HR,Manager,Chattogram,2020-02-07,51,Female,67544.55,3,No,21,0
E0223,Programs,Specialist,Dhaka,2020-03-10,42,Male,39771.78,3,No,5,0
E0224,Finance,Manager,Chattogram,2018-01-30,53,Female,78006.43,2,No,11,0
E0225,IT,Specialist,Rajshahi,2019-07-03,50,Female,33969.13,3,No,17,0
E0226,Programs,Manager,Chattogram,2021-04-16,44,Female,53401.26,4,Yes,8,0
E0227,HR,Coordinator,Chattogram,2019-11-26,28,Male,42365.71,2,No,21,1
E0228,HR,Coordinator,Dhaka,2020-11-10,40,Female,102448.69,2,Yes,16,0
E0229,IT,Analyst,Dhaka,2023-03-15,33,Female,78904.37,3,No,16,1
E0230,IT,Specialist,Dhaka,2022-07-03,32,Female,34436.33,2,Yes,6,0
E0231,Sales,Analyst,Chattogram,2025-07-18,32,Female,92406.23,3,No,3,0
E0232,Finance,Manager,Khulna,2022-07-15,36,Female,71957.88,3,Yes,21,0
E0233,Programs,Officer,Khulna,2025-01-31,45,Female,91268.0,3,Yes,1,0
E0234,Sales,Coordinator,Rajshahi,2019-09-13,35,Male,109884.05,5,Yes,19,0
E0235,Operations,Analyst,Khulna,2025-03-02,48,Male,58589.06,3,Yes,1,0
E0236,Operations,Analyst,Khulna,2023-02-14,52,Female,25502.58,4,No,6,0
E0237,Sales,Analyst,Dhaka,2025-04-18,24,Female,85769.81,4,No,13,0
E0238,Finance,Manager,Chattogram,2025-08-23,24,Male,42688.04,3,No,10,0
E0239,IT,Specialist,Dhaka,2018-08-20,46,Female,119410.42,2,No,19,1
E0240,HR,Officer,Khulna,2025-06-07,27,Female,87762.85,3,No,5,0
E0241,Finance,Specialist,Dhaka,2024-08-29,26,Male,56356.61,3,Yes,8,0
E0242,Sales,Specialist,Khulna,2024-03-02,52,Female,78417.85,3,No,20,1
E0243,Operations,Manager,Dhaka,2019-03-05,32,Male,48965.27,3,No,16,0
E0244,Finance,Officer,Khulna,2018-06-14,56,Female,68264.29,3,Yes,18,0
E0245,Finance,Analyst,Rajshahi,2023-09-04,45,Female,37941.45,4,No,19,0
E0246,Finance,Coordinator,Chattogram,2020-08-31,23,Male,71233.73,2,No,12,0
E0247,Sales,Manager,Rajshahi,2022-03-16,44,Male,110546.07,3,No,9,0
E0248,Programs,Manager,Khulna,2019-03-22,31,Male,74510.47,4,No,21,0
E0249,Operations,Specialist,Rajshahi,2022-03-21,54,Female,54086.01,3,No,6,1
E0250,Operations,Officer,Rajshahi,2024-09-19,27,Male,83099.72,5,No,10,0
E0251,HR,Manager,Khulna,2019-12-27,39,Male,26194.93,3,Yes,20,0
E0252,Programs,Manager,Khulna,2022-01-23,51,Female,84532.51,3,No,2,0
E0253,HR,Specialist,Rajshahi,2020-11-23,37,Male,47411.7,4,Yes,21,0
E0254,Sales,Officer,Dhaka,2018-04-11,43,Female,69853.59,5,Yes,0,0
E0255,HR,Officer,Khulna,2018-09-16,40,Female,25527.2,5,No,3,0
E0256,IT,Officer,Chattogram,2019-05-19,50,Male,99782.86,3,No,12,0
E0257,HR,Manager,Rajshahi,2022-11-10,25,Male,111257.67,5,No,13,0
E0258,Sales,Specialist,Chattogram,2025-07-03,57,Female,109071.06,3,No,0,0
E0259,Programs,Manager,Chattogram,2018-12-29,53,Female,54224.36,4,No,11,0
E0260,Operations,Specialist,Dhaka,2021-01-16,29,Female,95790.93,4,No,6,0
E0261,HR,Coordinator,Rajshahi,2021-01-31,22,Male,70689.62,3,Yes,16,0
E0262,Finance,Officer,Rajshahi,2018-06-19,36,Male,52557.89,3,No,2,0
E0263,Programs,Officer,Chattogram,2020-03-06,45,Female,88053.22,5,No,4,0
E0264,Operations,Specialist,Dhaka,2021-02-06,57,Male,27811.49,2,No,16,1
E0265,Sales,Coordinator,Dhaka,2018-06-08,35,Male,57043.48,4,Yes,5,0
E0266,Sales,Coordinator,Rajshahi,2025-07-12,56,Female,74693.97,3,No,2,0
E0267,Operations,Analyst,Dhaka,2018-11-24,24,Male,101939.01,3,No,0,0
E0268,Finance,Coordinator,Dhaka,2024-08-02,44,Male,29076.01,4,No,2,0
E0269,Operations,Specialist,Khulna,2025-05-22,31,Male,75042.55,3,No,0,0
E0270,Finance,Coordinator,Dhaka,2019-05-26,37,Female,70838.57,3,No,11,1
E0271,Finance,Specialist,Dhaka,2021-12-29,58,Female,50432.0,4,No,21,1
E0272,Operations,Officer,Dhaka,2019-10-22,50,Male,87880.03,4,Yes,6,0
E0273,Programs,Manager,Chattogram,2025-04-17,22,Male,116689.09,2,No,4,1
E0274,HR,Officer,Khulna,2020-07-29,49,Male,104694.32,3,Yes,9,0
E0275,HR,Manager,Dhaka,2023-06-27,47,Female,23310.92,3,No,20,0
E0276,Operations,Coordinator,Dhaka,2024-01-08,54,Male,92600.27,4,Yes,18,0
E0277,Finance,Officer,Dhaka,2020-07-18,41,Male,41415.05,3,Yes,18,0
E0278,Operations,Analyst,Rajshahi,2018-01-30,37,Male,88402.88,3,Yes,7,0
E0279,IT,Specialist,Chattogram,2020-02-08,34,Male,46861.16,4,No,18,1
E0280,Operations,Manager,Chattogram,2023-04-21,34,Male,46351.35,2,No,16,0
E0281,Operations,Coordinator,Khulna,2023-06-18,53,Female,60422.28,3,Yes,2,0
E0282,Finance,Coordinator,Khulna,2020-03-19,50,Male,55996.97,2,No,16,1
E0283,Finance,Coordinator,Khulna,2020-05-22,22,Male,105631.66,3,Yes,16,1
E0284,Operations,Coordinator,Khulna,2024-02-11,27,Male,30864.28,3,Yes,5,0
E0285,IT,Officer,Chattogram,2023-09-18,40,Female,115190.44,3,No,17,0
E0286,HR,Specialist,Chattogram,2022-02-15,40,Female,70978.99,4,No,6,0
E0287,Operations,Coordinator,Chattogram,2024-04-13,36,Male,22067.02,4,Yes,5,0
E0288,IT,Manager,Dhaka,2024-03-28,37,Male,99610.11,3,Yes,6,0
E0289,IT,Manager,Dhaka,2019-05-23,49,Female,107070.27,5,No,21,0
E0290,HR,Specialist,Chattogram,2022-08-21,58,Male,95468.03,3,Yes,6,0
E0291,Programs,Analyst,Dhaka,2022-10-21,24,Male,83026.95,5,No,15,0
E0292,Programs,Manager,Khulna,2023-06-20,54,Male,82281.14,2,Yes,2,0
E0293,Sales,Manager,Rajshahi,2024-09-03,53,Female,59439.37,3,No,1,0
E0294,Programs,Analyst,Khulna,2018-12-30,25,Male,98897.25,4,Yes,10,0
E0295,Finance,Officer,Chattogram,2019-02-18,43,Male,46061.33,3,No,1,1
E0296,HR,Analyst,Rajshahi,2020-08-16,43,Male,30633.67,5,Yes,8,0
E0297,Finance,Officer,Rajshahi,2020-08-26,23,Female,100744.93,3,No,17,0
E0298,Sales,Analyst,Chattogram,2022-12-07,45,Male,45944.72,2,No,12,0
E0299,HR,Analyst,Khulna,2022-10-29,37,Male,56814.38,4,No,3,0
E0300,Operations,Specialist,Khulna,2024-10-06,29,Female,34822.53,3,No,2,0
E0301,Finance,Coordinator,Rajshahi,2022-08-07,53,Male,44195.88,5,No,11,0
E0302,Programs,Specialist,Chattogram,2018-03-24,34,Female,111763.4,3,Yes,11,0
E0303,Programs,Coordinator,Dhaka,2025-02-15,32,Male,53314.14,3,No,16,0
E0304,Finance,Manager,Rajshahi,2025-01-29,57,Male,42258.62,2,Yes,19,0
E0305,Finance,Coordinator,Rajshahi,2020-12-07,27,Male,95598.6,3,No,17,0
E0306,Programs,Coordinator,Dhaka,2022-01-10,37,Male,26839.14,2,Yes,1,0
E0307,Programs,Analyst,Rajshahi,2024-09-12,47,Male,31164.93,4,No,17,0
E0308,IT,Specialist,Dhaka,2018-12-20,54,Male,80109.83,4,Yes,14,0
E0309,Programs,Analyst,Chattogram,2019-02-20,40,Female,69614.63,5,No,9,0
E0310,Programs,Analyst,Dhaka,2025-05-29,52,Male,57718.23,3,Yes,8,0
E0311,Operations,Specialist,Rajshahi,2021-05-11,43,Male,89245.49,4,No,15,0
E0312,Programs,Manager,Chattogram,2024-03-19,43,Female,91769.91,3,No,0,0
E0313,Operations,Coordinator,Chattogram,2023-10-11,52,Female,99518.3,4,Yes,3,0
E0314,HR,Coordinator,Dhaka,2020-09-25,25,Female,25183.21,2,Yes,13,0
