order_id,order_date,customer_id,product_id,product_name,category,region,channel,quantity,unit_price,discount,revenue,cost,profit
O00025,2025-09-14,C0165,P107,Backpack,Accessories,Chattogram,Partner,3,1856.75,0.1,5013.23,3310.84,1702.39
O00026,2025-07-11,C0104,P102,Polo Shirt,Apparel,Rajshahi,Partner,5,1029.51,0,5147.55,3884.03,1263.52
O00027,2026-04-11,C0050,P105,Monitor,Electronics,Rajshahi,Partner,4,15780.39,0,63121.56,39354.5,23767.06
O00028,2026-08-23,C0005,P103,Trousers,Apparel,Dhaka,Online,7,1609.46,0,11266.22,8291.93,2974.29
O00029,2026-04-17,C0051,P103,Trousers,Apparel,Chattogram,Retail,7,1417.49,0.1,8930.19,5684.43,3245.76
O00030,2025-08-28,C0012,P102,Polo Shirt,Apparel,Chattogram,Partner,3,1140.72,0.05,3251.05,2438.79,812.26
O00031,2025-02-02,C0136,P101,Shirt,Apparel,Rajshahi,Partner,2,782.07,0.15,1329.52,1004.25,325.27
O00032,2026-04-10,C0093,P107,Backpack,Accessories,Rajshahi,Retail,7,1927.77,0.15,11470.23,7776.48,3693.75
O00033,2026-01-13,C0134,P107,Backpack,Accessories,Rajshahi,Partner,2,1889.42,0.05,3589.9,2123.46,1466.44
O00034,2025-12-08,C0169,P107,Backpack,Accessories,Khulna,Online,6,1718.81,0,10312.86,6154.33,4158.53
O00035,2026-07-22,C0230,P102,Polo Shirt,Apparel,Dhaka,Online,7,1080.23,0.15,6427.37,4858.85,1568.52
O00036,2026-09-15,C0082,P108,Notebook,Stationery,Rajshahi,Online,3,168.75,0,506.25,346.5,159.75
O00037,2025-04-18,C0109,P108,Notebook,Stationery,Khulna,Partner,5,196.18,0,980.9,733.06,247.84
O00038,2026-11-29,C0182,P102,Polo Shirt,Apparel,Chattogram,Retail,1,1026.21,0,1026.21,606.87,419.34
O00039,2026-12-23,C0051,P105,Monitor,Electronics,Khulna,Partner,6,15196.24,0.15,77500.82,52184.72,25316.1
O00040,2025-03-29,C0171,P103,Trousers,Apparel,Rajshahi,Partner,4,1456.88,0.15,4953.39,3515.34,1438.05
O00041,2026-12-22,C0163,P106,Headset,Electronics,Dhaka,Partner,1,3110.52,0.15,2643.94,1863.4,780.54
O00042,2026-07-07,C0222,P106,Headset,Electronics,Dhaka,Partner,5,2977.58,0.1,13399.11,9608.2,3790.91
O00043,2026-04-20,C0100,P101,Shirt,Apparel,Dhaka,Partner,3,869.04,0.1,2346.41,1555.7,790.71
O00044,2025-09-16,C0083,P103,Trousers,Apparel,Chattogram,Online,7,1595.1,0,11165.7,6985.91,4179.79
O00045,2025-10-18,C0087,P104,Keyboard,Electronics,Khulna,Partner,1,2373.9,0.1,2136.51,1510.17,626.34
O00046,2026-10-30,C0240,P107,Backpack,Accessories,Chattogram,Partner,1,1941.16,0.15,1649.99,1127.92,522.07
O00047,2026-05-12,C0072,P106,Headset,Electronics,Chattogram,Retail,1,3396.0,0,3396.0,2498.52,897.48
O00048,2025-06-06,C0213,P102,Polo Shirt,Apparel,Dhaka,Online,6,1155.46,0.05,6586.12,4964.09,1622.03
O00049,2026-04-25,C0046,P107,Backpack,Accessories,Khulna,Online,3,1937.75,0.1,5231.93,3487.01,1744.92
O00050,2026-09-02,C0019,P107,Backpack,Accessories,Rajshahi,Online,4,1863.59,0.1,6708.92,4900.5,1808.42
O00051,2025-05-13,C0190,P103,Trousers,Apparel,Dhaka,Partner,6,1411.59,0.05,8046.06,5355.42,2690.64
O00052,2025-02-13,C0212,P108,Notebook,Stationery,Dhaka,Online,3,183.02,0.15,466.7,286.76,179.94
O00053,2025-06-30,C0190,P107,Backpack,Accessories,Chattogram,Online,4,1915.2,0.05,7277.76,4328.1,2949.66
O00054,2026-05-18,C0090,P105,Monitor,Electronics,Dhaka,Online,6,14639.84,0.15,74663.18,50493.79,24169.39
O00055,2026-11-14,C0136,P105,Monitor,Electronics,Chattogram,Partner,6,13507.11,0.05,76990.53,45149.76,31840.77
O00056,2025-06-19,C0072,P107,Backpack,Accessories,Chattogram,Online,7,1781.99,0.15,10602.84,7236.69,3366.15
O00057,2026-12-06,C0198,P106,Headset,Electronics,Khulna,Retail,4,3422.17,0.1,12319.81,9198.94,3120.87
O00058,2025-08-21,C0220,P107,Backpack,Accessories,Dhaka,Retail,7,1692.83,0.1,10664.83,7026.56,3638.27
O00059,2026-01-21,C0031,P108,Notebook,Stationery,Khulna,Retail,1,174.05,0,174.05,116.5,57.55
O00060,2025-03-03,C0184,P102,Polo Shirt,Apparel,Chattogram,Partner,2,1069.58,0,2139.16,1425.6,713.56
O00061,2026-10-21,C0171,P105,Monitor,Electronics,Chattogram,Online,2,13539.8,0.15,23017.66,13655.47,9362.19
O00062,2025-09-14,C0149,P107,Backpack,Accessories,Khulna,Online,4,1937.99,0.15,6589.17,4948.22,1640.95
O00063,2025-08-22,C0070,P106,Headset,Electronics,Chattogram,Partner,4,3332.18,0.15,11329.41,7210.36,4119.05
O00064,2025-10-01,C0036,P101,Shirt,Apparel,Dhaka,Retail,5,830.8,0.1,3738.6,2196.67,1541.93
O00065,2026-10-02,C0228,P106,Headset,Electronics,Rajshahi,Partner,6,3287.8,0.1,17754.12,11339.57,6414.55
O00066,2026-12-06,C0060,P105,Monitor,Electronics,Chattogram,Partner,4,14177.33,0.1,51038.39,32131.46,18906.93
O00067,2026-06-01,C0074,P104,Keyboard,Electronics,Chattogram,Online,4,2168.38,0,8673.52,6577.75,2095.77
O00068,2026-02-05,C0160,P103,Trousers,Apparel,Rajshahi,Online,6,1454.77,0.15,7419.33,4471.51,2947.82
O00069,2025-02-18,C0006,P107,Backpack,Accessories,Rajshahi,Retail,6,1715.44,0.1,9263.38,5574.97,3688.41
O00070,2026-12-03,C0175,P102,Polo Shirt,Apparel,Chattogram,Partner,1,1074.07,0,1074.07,640.51,433.56
O00071,2026-05-04,C0014,P101,Shirt,Apparel,Rajshahi,Retail,4,825.92,0,3303.68,2086.38,1217.3
O00072,2025-02-06,C0148,P106,Headset,Electronics,Khulna,Partner,2,3271.3,0,6542.6,3843.8,2698.8
O00073,2025-11-27,C0128,P107,Backpack,Accessories,Rajshahi,Retail,5,1874.77,0.05,8905.16,5494.49,3410.67
O00074,2026-09-29,C0085,P102,Polo Shirt,Apparel,Dhaka,Online,6,1041.24,0.1,5622.7,3919.22,1703.48
O00075,2025-04-14,C0128,P102,Polo Shirt,Apparel,Chattogram,Online,7,1175.75,0.05,7818.74,4752.91,3065.83
O00076,2025-05-09,C0039,P102,Polo Shirt,Apparel,Chattogram,Online,7,1101.45,0,7710.15,4762.95,2947.2
O00077,2026-05-07,C0006,P102,Polo Shirt,Apparel,Chattogram,Retail,3,1190.05,0.1,3213.13,2202.57,1010.56
O00078,2026-02-21,C0176,P107,Backpack,Accessories,Chattogram,Online,7,1946.12,0.1,12260.56,7769.33,4491.23
O00079,2026-02-28,C0220,P103,Trousers,Apparel,Dhaka,Online,6,1433.37,0.1,7740.2,5657.08,2083.12
O00080,2025-10-16,C0223,P105,Monitor,Electronics,Chattogram,Online,2,15771.39,0.15,26811.36,17832.47,8978.89
O00081,2026-12-31,C0206,P102,Polo Shirt,Apparel,Rajshahi,Online,5,1077.15,0,5385.75,3146.38,2239.37
O00082,2025-09-28,C0153,P104,Keyboard,Electronics,Dhaka,Partner,5,2308.25,0,11541.25,8349.57,3191.68
O00083,2025-08-14,C0217,P108,Notebook,Stationery,Khulna,Partner,3,181.45,0.05,517.13,346.24,170.89
O00084,2026-05-28,C0087,P108,Notebook,Stationery,Khulna,Online,1,190.09,0,190.09,141.72,48.37
O00085,2026-11-26,C0077,P107,Backpack,Accessories,Chattogram,Partner,2,1676.48,0,3352.96,2431.19,921.77
O00086,2026-04-20,C0211,P101,Shirt,Apparel,Chattogram,Retail,2,823.36,0.05,1564.38,1115.87,448.51
O00087,2026-08-04,C0009,P107,Backpack,Accessories,Khulna,Online,2,1873.68,0,3747.36,2369.43,1377.93
O00088,2025-07-26,C0111,P106,Headset,Electronics,Dhaka,Partner,3,3283.98,0,9851.94,5728.15,4123.79
O00089,2025-09-18,C0179,P103,Trousers,Apparel,Rajshahi,Online,2,1554.85,0,3109.7,2348.16,761.54
O00090,2025-05-22,C0221,P101,Shirt,Apparel,Chattogram,Online,6,830.78,0,4984.68,3402.91,1581.77
O00091,2026-04-13,C0208,P103,Trousers,Apparel,Khulna,Retail,1,1470.13,0,1470.13,966.93,503.2
O00092,2025-10-15,C0226,P101,Shirt,Apparel,Rajshahi,Retail,4,783.13,0.15,2662.64,1672.55,990.09
O00093,2026-05-19,C0029,P107,Backpack,Accessories,Khulna,Partner,3,1887.76,0.05,5380.12,3615.66,1764.46
O00094,2025-11-25,C0042,P106,Headset,Electronics,Dhaka,Retail,3,3073.01,0.1,8297.13,5699.85,2597.28
O00095,2025-12-08,C0192,P102,Polo Shirt,Apparel,Dhaka,Retail,7,1075.87,0,7531.09,5263.68,2267.41
O00096,2025-05-12,C0018,P105,Monitor,Electronics,Khulna,Partner,7,13693.9,0,95857.3,72556.78,23300.52
O00097,2026-01-29,C0150,P103,Trousers,Apparel,Khulna,Retail,5,1436.4,0.15,6104.7,4600.51,1504.19
O00098,2025-08-03,C0084,P108,Notebook,Stationery,Chattogram,Retail,5,179.24,0.1,806.58,495.37,311.21
O00099,2026-07-01,C0022,P108,Notebook,Stationery,Dhaka,Retail,4,174.39,0.05,662.68,424.16,238.52
O00100,2026-04-13,C0240,P101,Shirt,Apparel,Dhaka,Online,1,822.89,0.15,699.46,442.7,256.76
O00101,2026-01-05,C0165,P104,Keyboard,Electronics,Rajshahi,Retail,1,2182.53,0,2182.53,1597.4,585.13
O00102,2025-12-19,C0047,P102,Polo Shirt,Apparel,Khulna,Partner,4,1188.81,0,4755.24,3058.67,1696.57
O00103,2026-05-10,C0097,P108,Notebook,Stationery,Dhaka,Online,3,167.8,0.1,453.06,291.9,161.16
O00104,2025-01-19,C0107,P108,Notebook,Stationery,Dhaka,Online,6,172.62,0,1035.72,644.95,390.77
O00105,2026-02-17,C0116,P104,Keyboard,Electronics,Rajshahi,Partner,3,2170.17,0.05,6184.98,4352.84,1832.14
O00106,2026-10-18,C0085,P105,Monitor,Electronics,Rajshahi,Online,6,15607.59,0.1,84280.99,63165.5,21115.49
O00107,2026-03-15,C0064,P105,Monitor,Electronics,Chattogram,Online,5,14442.74,0.1,64992.33,49361.08,15631.25
O00108,2025-05-18,C0105,P108,Notebook,Stationery,Chattogram,Partner,2,175.87,0.1,316.57,216.43,100.14
O00109,2026-06-04,C0076,P102,Polo Shirt,Apparel,Dhaka,Online,7,1034.99,0.05,6882.68,4580.02,2302.66
O00110,2026-05-15,C0109,P103,Trousers,Apparel,Rajshahi,Retail,4,1566.5,0.15,5326.1,3796.23,1529.87
O00111,2026-01-27,C0129,P106,Headset,Electronics,Rajshahi,Online,6,3296.38,0,19778.28,14797.43,4980.85
O00112,2026-03-27,C0128,P106,Headset,Electronics,Khulna,Retail,1,3118.33,0,3118.33,1952.58,1165.75
O00113,2025-01-05,C0230,P105,Monitor,Electronics,Rajshahi,Partner,6,14640.32,0,87841.92,57882.63,29959.29
O00114,2025-02-13,C0007,P103,Trousers,Apparel,Dhaka,Online,6,1481.55,0,8889.3,6360.22,2529.08
O00115,2026-07-06,C0043,P105,Monitor,Electronics,Dhaka,Retail,3,15031.29,0,45093.87,32723.74,12370.13
O00116,2026-01-28,C0199,P107,Backpack,Accessories,Chattogram,Retail,3,1701.68,0,5105.04,3400.84,1704.2
O00117,2026-04-01,C0161,P106,Headset,Electronics,Chattogram,Online,7,3274.83,0.05,21777.62,12941.94,8835.68
O00118,2026-12-28,C0195,P106,Headset,Electronics,Dhaka,Partner,4,3414.07,0.1,12290.65,7379.15,4911.5
O00119,2026-03-26,C0221,P104,Keyboard,Electronics,Dhaka,Partner,2,2122.9,0,4245.8,3145.78,1100.02
O00120,2025-07-09,C0105,P107,Backpack,Accessories,Khulna,Retail,5,1768.64,0,8843.2,6431.85,2411.35
O00121,2026-01-03,C0048,P105,Monitor,Electronics,Rajshahi,Retail,6,13529.93,0.1,73061.62,53102.22,19959.4
O00122,2025-05-13,C0003,P101,Shirt,Apparel,Chattogram,Partner,6,799.59,0.1,4317.79,2700.99,1616.8
O00123,2026-09-24,C0077,P105,Monitor,Electronics,Khulna,Partner,5,15645.58,0,78227.9,45600.79,32627.11
O00124,2025-04-24,C0233,P105,Monitor,Electronics,Dhaka,Retail,5,14945.39,0,74726.95,52541.92,22185.03
O00125,2026-04-18,C0026,P101,Shirt,Apparel,Rajshahi,Retail,5,835.33,0,4176.65,2791.54,1385.11
O00126,2025-08-21,C0068,P105,Monitor,Electronics,Rajshahi,Retail,2,15618.41,0.15,26551.3,17710.87,8840.43
O00127,2026-01-01,C0236,P102,Polo Shirt,Apparel,Dhaka,Retail,7,1135.84,0.05,7553.34,5092.79,2460.55
O00128,2025-01-18,C0138,P105,Monitor,Electronics,Chattogram,Online,7,14083.06,0,98581.42,64737.21,33844.21
O00129,2026-06-08,C0059,P106,Headset,Electronics,Dhaka,Online,5,3182.35,0.1,14320.58,9646.75,4673.83
O00130,2026-04-10,C0235,P106,Headset,Electronics,Khulna,Retail,6,3238.18,0,19429.08,12751.44,6677.64
O00131,2026-09-16,C0166,P108,Notebook,Stationery,Khulna,Retail,6,174.98,0,1049.88,638.19,411.69
O00132,2026-03-17,C0037,P104,Keyboard,Electronics,Rajshahi,Retail,7,2140.26,0.1,13483.64,8108.75,5374.89
O00133,2025-03-20,C0155,P106,Headset,Electronics,Khulna,Retail,7,3374.98,0.15,20081.13,13230.39,6850.74
O00134,2025-10-27,C0048,P101,Shirt,Apparel,Chattogram,Online,3,804.42,0,2413.26,1660.11,753.15
O00135,2025-12-09,C0055,P103,Trousers,Apparel,Khulna,Online,2,1446.4,0,2892.8,1996.87,895.93
O00136,2025-10-20,C0074,P106,Headset,Electronics,Dhaka,Partner,7,3159.61,0.1,19905.54,12378.04,7527.5
O00137,2026-09-24,C0068,P104,Keyboard,Electronics,Chattogram,Retail,7,2204.62,0,15432.34,10973.61,4458.73
O00138,2025-03-06,C0135,P107,Backpack,Accessories,Khulna,Online,2,1759.61,0.15,2991.34,2067.31,924.03
O00139,2026-08-08,C0217,P108,Notebook,Stationery,Chattogram,Retail,3,181.86,0,545.58,351.08,194.5
O00140,2025-09-28,C0223,P108,Notebook,Stationery,Dhaka,Online,7,190.04,0,1330.28,815.27,515.01
O00141,2025-11-02,C0226,P103,Trousers,Apparel,Dhaka,Retail,1,1460.78,0.1,1314.7,960.52,354.18
O00142,2025-07-17,C0076,P103,Trousers,Apparel,Dhaka,Partner,7,1631.8,0.15,9709.21,6270.86,3438.35
O00143,2025-01-28,C0165,P102,Polo Shirt,Apparel,Rajshahi,Partner,6,1046.46,0,6278.76,4746.0,1532.76
O00144,2026-01-30,C0130,P108,Notebook,Stationery,Rajshahi,Partner,7,191.74,0.05,1275.07,826.65,448.42
O00145,2025-04-25,C0117,P105,Monitor,Electronics,Chattogram,Retail,5,14615.28,0,73076.4,50372.22,22704.18
O00146,2025-01-12,C0212,P103,Trousers,Apparel,Khulna,Retail,7,1511.54,0,10580.78,7492.03,3088.75
O00147,2026-10-14,C0104,P103,Trousers,Apparel,Rajshahi,Retail,1,1432.81,0,1432.81,984.83,447.98
O00148,2025-07-27,C0182,P101,Shirt,Apparel,Khulna,Online,6,764.98,0.05,4360.39,3017.86,1342.53
O00149,2026-01-30,C0160,P103,Trousers,Apparel,Dhaka,Online,3,1459.99,0,4379.97,3006.52,1373.45
O00150,2025-03-25,C0138,P106,Headset,Electronics,Khulna,Online,2,3458.5,0,6917.0,4565.92,2351.08
O00151,2026-06-24,C0167,P106,Headset,Electronics,Rajshahi,Retail,4,3057.92,0,12231.68,8379.11,3852.57
O00152,2025-01-29,C0061,P108,Notebook,Stationery,Rajshahi,Retail,4,176.79,0.05,671.8,438.7,233.1
O00153,2026-01-12,C0088,P107,Backpack,Accessories,Chattogram,Retail,2,1809.22,0,3618.44,2365.2,1253.24
O00154,2026-04-29,C0080,P105,Monitor,Electronics,Khulna,Retail,1,14872.99,0,14872.99,11026.44,3846.55
O00155,2026-01-29,C0142,P101,Shirt,Apparel,Chattogram,Retail,4,772.01,0.15,2624.83,1749.26,875.57
O00156,2026-12-17,C0205,P102,Polo Shirt,Apparel,Rajshahi,Retail,2,1058.86,0,2117.72,1605.78,511.94
O00157,2026-02-02,C0088,P106,Headset,Electronics,Khulna,Online,7,3408.47,0.1,21473.36,14309.67,7163.69
O00158,2026-03-31,C0206,P103,Trousers,Apparel,Khulna,Retail,7,1601.11,0,11207.77,7510.0,3697.77
O00159,2025-08-19,C0108,P101,Shirt,Apparel,Dhaka,Online,7,856.53,0.1,5396.14,3867.71,1528.43
O00160,2026-09-14,C0049,P103,Trousers,Apparel,Dhaka,Retail,4,1628.58,0,6514.32,3823.37,2690.95
O00161,2025-08-22,C0027,P108,Notebook,Stationery,Chattogram,Online,3,190.59,0.05,543.18,333.25,209.93
O00162,2025-05-03,C0010,P101,Shirt,Apparel,Khulna,Retail,2,836.66,0,1673.32,1247.69,425.63
O00163,2025-10-16,C0148,P101,Shirt,Apparel,Khulna,Retail,2,856.94,0.05,1628.19,1045.96,582.23
O00164,2025-05-05,C0177,P107,Backpack,Accessories,Khulna,Retail,7,1767.56,0,12372.92,8910.43,3462.49
O00165,2026-10-30,C0082,P102,Polo Shirt,Apparel,Dhaka,Retail,7,1189.92,0.1,7496.5,4767.63,2728.87
O00166,2026-06-28,C0028,P106,Headset,Electronics,Rajshahi,Retail,6,3420.92,0.15,17446.69,12079.37,5367.32
O00167,2025-04-21,C0063,P106,Headset,Electronics,Khulna,Online,5,3018.73,0.1,13584.28,9026.78,4557.5
O00168,2026-06-14,C0040,P102,Polo Shirt,Apparel,Dhaka,Online,3,1184.21,0.1,3197.37,2022.74,1174.63
O00169,2025-12-25,C0106,P108,Notebook,Stationery,Khulna,Partner,6,168.4,0.1,909.36,602.73,306.63
O00170,2025-11-15,C0060,P107,Backpack,Accessories,Khulna,Online,2,1961.45,0.15,3334.47,2411.35,923.12
O00171,2026-02-08,C0155,P103,Trousers,Apparel,Chattogram,Retail,5,1517.1,0.05,7206.22,5262.9,1943.32
O00172,2026-05-06,C0169,P103,Trousers,Apparel,Rajshahi,Online,4,1427.83,0,5711.32,3879.76,1831.56
O00173,2025-11-03,C0073,P107,Backpack,Accessories,Chattogram,Partner,1,1926.36,0.15,1637.41,1181.04,456.37
O00174,2026-09-21,C0028,P101,Shirt,Apparel,Dhaka,Partner,7,800.67,0.1,5044.22,3674.63,1369.59
O00175,2025-01-13,C0231,P101,Shirt,Apparel,Rajshahi,Online,4,788.46,0.1,2838.46,1823.74,1014.72
O00176,2026-07-04,C0119,P101,Shirt,Apparel,Dhaka,Online,1,792.89,0.15,673.96,420.22,253.74
O00177,2026-03-09,C0064,P103,Trousers,Apparel,Rajshahi,Online,4,1570.09,0.1,5652.32,4002.29,1650.03
O00178,2025-05-05,C0132,P104,Keyboard,Electronics,Rajshahi,Retail,1,2046.94,0.1,1842.25,1281.52,560.73
O00179,2025-02-27,C0022,P106,Headset,Electronics,Rajshahi,Partner,1,3433.47,0.15,2918.45,1953.26,965.19
O00180,2025-03-23,C0022,P101,Shirt,Apparel,Chattogram,Online,3,764.89,0,2294.67,1626.16,668.51
O00181,2026-01-24,C0152,P104,Keyboard,Electronics,Khulna,Partner,6,2220.1,0,13320.6,8068.87,5251.73
O00182,2026-02-19,C0239,P103,Trousers,Apparel,Rajshahi,Retail,6,1528.23,0,9169.38,6646.56,2522.82
O00183,2025-10-19,C0058,P106,Headset,Electronics,Chattogram,Retail,2,3322.92,0.1,5981.26,3713.17,2268.09
O00184,2025-01-07,C0173,P104,Keyboard,Electronics,Chattogram,Retail,1,2153.38,0,2153.38,1519.91,633.47
O00185,2026-07-05,C0229,P104,Keyboard,Electronics,Dhaka,Online,3,2367.44,0,7102.32,5396.41,1705.91
O00186,2025-10-26,C0170,P108,Notebook,Stationery,Dhaka,Retail,3,194.56,0.1,525.31,305.69,219.62
O00187,2026-04-02,C0008,P104,Keyboard,Electronics,Dhaka,Partner,6,2302.61,0.15,11743.31,7991.25,3752.06
O00188,2026-05-22,C0018,P106,Headset,Electronics,Rajshahi,Retail,5,3312.85,0,16564.25,10929.18,5635.07
O00189,2025-11-23,C0169,P104,Keyboard,Electronics,Dhaka,Online,4,2305.53,0,9222.12,6451.02,2771.1
O00190,2025-05-13,C0028,P102,Polo Shirt,Apparel,Rajshahi,Retail,6,1106.58,0,6639.48,5025.29,1614.19
O00191,2025-01-16,C0155,P105,Monitor,Electronics,Chattogram,Retail,6,15356.25,0,92137.5,65028.32,27109.18
O00192,2026-01-04,C0212,P108,Notebook,Stationery,Rajshahi,Retail,1,181.8,0,181.8,110.93,70.87
O00193,2025-04-02,C0085,P101,Shirt,Apparel,Dhaka,Retail,1,830.3,0.15,705.75,482.18,223.57
O00194,2026-12-25,C0178,P106,Headset,Electronics,Dhaka,Partner,5,3239.13,0,16195.65,10413.19,5782.46
O00195,2026-11-13,C0179,P108,Notebook,Stationery,Rajshahi,Partner,5,194.45,0.15,826.41,589.56,236.85
O00196,2026-11-28,C0113,P105,Monitor,Electronics,Rajshahi,Retail,7,14737.96,0,103165.72,61909.98,41255.74
O00197,2025-08-11,C0109,P106,Headset,Electronics,Rajshahi,Online,6,3282.06,0,19692.36,13296.02,6396.34
O00198,2025-05-12,C0044,P105,Monitor,Electronics,Chattogram,Online,5,15364.99,0,76824.95,53931.17,22893.78
O00199,2026-02-07,C0044,P105,Monitor,Electronics,Dhaka,Online,2,15373.64,0.1,27672.55,20085.35,7587.2
O00200,2025-10-14,C0153,P104,Keyboard,Electronics,Chattogram,Online,6,2299.33,0.15,11726.58,7331.95,4394.63
O00201,2025-01-13,C0033,P102,Polo Shirt,Apparel,Rajshahi,Retail,2,1127.7,0.05,2142.63,1612.57,530.06
O00202,2026-11-10,C0086,P104,Keyboard,Electronics,Chattogram,Retail,4,2347.49,0.15,7981.47,5784.75,2196.72
O00203,2025-08-15,C0099,P107,Backpack,Accessories,Khulna,Online,5,1790.63,0,8953.15,5709.28,3243.87
O00204,2025-02-20,C0009,P106,Headset,Electronics,Khulna,Online,7,3091.83,0.1,19478.53,12835.44,6643.09
O00205,2026-02-23,C0221,P106,Headset,Electronics,Chattogram,Online,7,3186.97,0.15,18962.47,12183.87,6778.6
O00206,2026-04-22,C0041,P106,Headset,Electronics,Chattogram,Partner,3,3359.91,0.05,9575.74,5903.16,3672.58
O00207,2026-02-10,C0044,P103,Trousers,Apparel,Khulna,Partner,1,1556.84,0.05,1479.0,871.44,607.56
O00208,2026-07-28,C0152,P104,Keyboard,Electronics,Dhaka,Partner,7,2204.01,0.1,13885.26,10470.75,3414.51
O00209,2026-08-17,C0076,P107,Backpack,Accessories,Khulna,Online,3,1711.21,0.1,4620.27,2901.63,1718.64
O00210,2025-08-14,C0041,P108,Notebook,Stationery,Chattogram,Retail,7,173.36,0.1,1092.17,737.47,354.7
O00211,2025-08-04,C0104,P107,Backpack,Accessories,Khulna,Partner,7,1855.56,0.1,11690.03,7073.78,4616.25
O00212,2025-04-09,C0170,P101,Shirt,Apparel,Khulna,Online,3,807.7,0.1,2180.79,1501.14,679.65
O00213,2025-05-19,C0049,P101,Shirt,Apparel,Rajshahi,Retail,4,846.59,0,3386.36,2083.95,1302.41
O00214,2026-07-30,C0231,P104,Keyboard,Electronics,Rajshahi,Partner,5,2327.83,0,11639.15,8144.99,3494.16
O00215,2025-11-16,C0139,P105,Monitor,Electronics,Dhaka,Partner,5,14017.43,0.15,59574.08,40629.39,18944.69
O00216,2026-01-04,C0201,P108,Notebook,Stationery,Khulna,Retail,6,177.42,0.1,958.07,603.99,354.08
O00217,2025-02-04,C0211,P102,Polo Shirt,Apparel,Dhaka,Partner,2,1036.9,0.05,1970.11,1436.63,533.48
O00218,2026-02-23,C0239,P102,Polo Shirt,Apparel,Khulna,Online,5,1027.88,0,5139.4,3281.83,1857.57
O00219,2026-11-23,C0076,P106,Headset,Electronics,Chattogram,Partner,3,3263.72,0.1,8812.04,5786.95,3025.09
O00220,2025-11-09,C0058,P101,Shirt,Apparel,Dhaka,Online,3,790.84,0,2372.52,1747.29,625.23
O00221,2025-02-23,C0112,P103,Trousers,Apparel,Dhaka,Retail,2,1533.8,0.1,2760.84,1619.86,1140.98
O00222,2025-03-09,C0130,P103,Trousers,Apparel,Rajshahi,Online,2,1490.2,0,2980.4,1778.39,1202.01
