month,project,location,beneficiary_target,beneficiary_reached,budget,expense,utilization_rate,quality_issues,status
2025-11,Primary Health,Khulna,104,73,285941.71,260240.36,0.9101,7,On track
2025-11,Primary Health,Rajshahi,371,253,105876.44,74402.21,0.7027,1,Delayed
2025-11,Climate Action,Dhaka,103,93,254234.8,231763.54,0.9116,1,At risk
2025-11,Climate Action,Chattogram,120,133,135869.32,149898.64,1.1033,7,Delayed
2025-11,Climate Action,Khulna,239,175,86198.41,60385.65,0.7005,3,On track
2025-11,Climate Action,Rajshahi,312,307,61774.8,65343.36,1.0578,2,On track
2025-11,Women Empowerment,Dhaka,151,165,105899.23,115825.26,1.0937,2,On track
2025-11,Women Empowerment,Chattogram,136,148,256411.3,263214.13,1.0265,6,On track
2025-11,Women Empowerment,Khulna,379,297,235998.69,223519.4,0.9471,2,At risk
2025-11,Women Empowerment,Rajshahi,367,389,221482.64,246485.06,1.1129,6,At risk
2025-12,Education,Dhaka,217,246,83555.9,62937.38,0.7532,6,On track
2025-12,Education,Chattogram,374,405,197998.64,189287.5,0.956,6,Delayed
2025-12,Education,Khulna,286,336,53386.84,46102.14,0.8635,3,Delayed
2025-12,Education,Rajshahi,198,176,255234.0,211908.9,0.8303,7,At risk
2025-12,Primary Health,Dhaka,279,316,154000.65,157027.04,1.0197,0,At risk
2025-12,Primary Health,Chattogram,213,237,159194.2,121682.4,0.7644,3,Delayed
2025-12,Primary Health,Khulna,373,301,130629.58,130285.01,0.9974,4,At risk
2025-12,Primary Health,Rajshahi,341,399,163486.69,163606.38,1.0007,1,Delayed
2025-12,Climate Action,Dhaka,172,153,188230.31,216118.24,1.1482,4,Delayed
2025-12,Climate Action,Chattogram,164,171,93196.15,82877.6,0.8893,4,On track
2025-12,Climate Action,Khulna,292,215,277745.81,305173.32,1.0988,4,At risk
2025-12,Climate Action,Rajshahi,233,219,274845.52,232870.14,0.8473,4,At risk
2025-12,Women Empowerment,Dhaka,280,199,131427.83,97994.2,0.7456,7,Delayed
2025-12,Women Empowerment,Chattogram,406,429,88061.15,99261.31,1.1272,4,Delayed
2025-12,Women Empowerment,Khulna,243,182,289835.35,213706.99,0.7373,6,On track
2025-12,Women Empowerment,Rajshahi,258,232,134527.45,126120.4,0.9375,5,At risk
2026-01,Education,Dhaka,103,111,135805.26,144420.63,1.0634,0,Delayed
2026-01,Education,Chattogram,365,370,235959.64,172378.85,0.7305,0,At risk
2026-01,Education,Khulna,371,311,194202.23,207728.48,1.0697,5,At risk
2026-01,Education,Rajshahi,186,124,151365.73,107430.7,0.7097,4,Delayed
2026-01,Primary Health,Dhaka,108,118,235917.73,219851.81,0.9319,1,On track
2026-01,Primary Health,Chattogram,191,188,237250.79,186726.72,0.787,3,On track
2026-01,Primary Health,Khulna,180,214,281429.17,220899.97,0.7849,5,Delayed
2026-01,Primary Health,Rajshahi,147,116,273020.4,274329.03,1.0048,5,At risk
2026-01,Climate Action,Dhaka,336,251,166978.19,180452.64,1.0807,5,At risk
2026-01,Climate Action,Chattogram,104,106,268278.35,218491.14,0.8144,0,Delayed
2026-01,Climate Action,Khulna,190,128,249048.77,256780.71,1.031,1,On track
2026-01,Climate Action,Rajshahi,324,339,296637.65,323399.48,1.0902,1,Delayed
2026-01,Women Empowerment,Dhaka,154,115,163380.77,141666.32,0.8671,2,At risk
2026-01,Women Empowerment,Chattogram,105,85,124168.28,103956.84,0.8372,2,At risk
2026-01,Women Empowerment,Khulna,211,236,91987.96,72298.79,0.786,1,Delayed
2026-01,Women Empowerment,Rajshahi,293,261,71709.33,67530.48,0.9417,4,At risk
2026-02,Education,Dhaka,354,391,249422.6,207024.59,0.83,2,Delayed
2026-02,Education,Chattogram,115,81,246919.73,190183.59,0.7702,5,On track
2026-02,Education,Khulna,385,283,234032.54,213046.68,0.9103,0,On track
2026-02,Education,Rajshahi,152,114,92480.24,74627.2,0.807,3,Delayed
2026-02,Primary Health,Dhaka,85,84,74244.53,64437.68,0.8679,6,On track
2026-02,Primary Health,Chattogram,255,242,124599.26,125194.22,1.0048,1,On track
2026-02,Primary Health,Khulna,87,97,123164.75,93923.73,0.7626,1,At risk
2026-02,Primary Health,Rajshahi,223,175,150475.99,127028.69,0.8442,1,Delayed
2026-02,Climate Action,Dhaka,215,229,75494.98,73766.5,0.9771,2,At risk
2026-02,Climate Action,Chattogram,299,313,102097.39,110986.39,1.0871,2,At risk
2026-02,Climate Action,Khulna,111,85,79558.98,75277.22,0.9462,6,At risk
2026-02,Climate Action,Rajshahi,307,242,248896.09,242989.28,0.9763,3,On track
2026-02,Women Empowerment,Dhaka,259,247,285029.78,326050.15,1.1439,2,Delayed
2026-02,Women Empowerment,Chattogram,299,317,167419.28,143172.36,0.8552,0,At risk
2026-02,Women Empowerment,Khulna,228,169,108288.03,88926.17,0.8212,5,On track
2026-02,Women Empowerment,Rajshahi,166,115,290584.76,305520.72,1.0514,4,Delayed
2026-03,Education,Dhaka,109,111,116793.52,122110.59,1.0455,4,On track
2026-03,Education,Chattogram,111,117,261019.75,283294.95,1.0853,5,Delayed
2026-03,Education,Khulna,204,151,175334.69,138618.39,0.7906,1,At risk
2026-03,Education,Rajshahi,222,184,74101.27,79351.89,1.0709,0,Delayed
2026-03,Primary Health,Dhaka,399,399,234731.16,206811.62,0.8811,2,Delayed
2026-03,Primary Health,Chattogram,221,198,244222.85,209134.68,0.8563,4,At risk
2026-03,Primary Health,Khulna,361,377,257831.92,280418.88,1.0876,3,At risk
2026-03,Primary Health,Rajshahi,364,342,122477.97,125748.38,1.0267,6,On track
2026-03,Climate Action,Dhaka,350,314,59889.62,43102.7,0.7197,5,Delayed
2026-03,Climate Action,Chattogram,93,78,141416.27,137580.99,0.9729,6,At risk
2026-03,Climate Action,Khulna,189,218,254142.17,191106.32,0.752,2,At risk
2026-03,Climate Action,Rajshahi,155,131,248883.8,234267.09,0.9413,5,On track
2026-03,Women Empowerment,Dhaka,178,118,248985.21,233435.17,0.9375,7,On track
2026-03,Women Empowerment,Chattogram,86,62,298520.16,255116.34,0.8546,4,On track
2026-03,Women Empowerment,Khulna,322,277,215565.07,239135.53,1.1093,3,At risk
2026-03,Women Empowerment,Rajshahi,258,297,56502.17,48798.86,0.8637,5,Delayed
2026-04,Education,Dhaka,162,163,223938.2,219585.49,0.9806,3,At risk
2026-04,Education,Chattogram,195,139,73090.59,55820.05,0.7637,0,Delayed
2026-04,Education,Khulna,96,80,56441.54,44371.52,0.7862,3,At risk
2026-04,Education,Rajshahi,357,370,283325.36,304876.49,1.0761,4,Delayed
2026-04,Primary Health,Dhaka,109,99,125326.41,103609.86,0.8267,5,At risk
2026-04,Primary Health,Chattogram,85,85,165052.05,182124.06,1.1034,7,Delayed
2026-04,Primary Health,Khulna,124,94,76381.06,66492.73,0.8705,3,On track
2026-04,Primary Health,Rajshahi,346,309,218447.79,229214.34,1.0493,2,On track
2026-04,Climate Action,Dhaka,310,223,91552.42,73767.68,0.8057,3,Delayed
2026-04,Climate Action,Chattogram,416,465,106609.33,121647.91,1.1411,7,Delayed
2026-04,Climate Action,Khulna,272,252,264111.77,239586.83,0.9071,4,On track
2026-04,Climate Action,Rajshahi,263,173,262418.81,221459.64,0.8439,6,Delayed
2026-04,Women Empowerment,Dhaka,128,124,219863.97,157124.05,0.7146,4,Delayed
2026-04,Women Empowerment,Chattogram,151,112,165069.81,117172.35,0.7098,1,At risk
2026-04,Women Empowerment,Khulna,180,166,164498.1,158249.58,0.962,5,At risk
2026-04,Women Empowerment,Rajshahi,102,69,107121.67,101144.79,0.9442,7,At risk
2026-05,Education,Dhaka,184,180,143119.8,123722.12,0.8645,4,At risk
2026-05,Education,Chattogram,384,293,289879.57,251211.77,0.8666,5,At risk
2026-05,Education,Khulna,419,427,99989.21,91007.01,0.9102,7,At risk
2026-05,Education,Rajshahi,97,77,256588.43,235423.43,0.9175,4,Delayed
2026-05,Primary Health,Dhaka,255,268,286684.56,285529.86,0.996,4,On track
2026-05,Primary Health,Chattogram,271,281,162183.25,179783.27,1.1085,7,On track
2026-05,Primary Health,Khulna,125,142,73308.25,65952.54,0.8997,1,On track
2026-05,Primary Health,Rajshahi,156,124,251966.53,270585.29,1.0739,3,On track
2026-05,Climate Action,Dhaka,326,349,184208.41,176528.28,0.9583,2,Delayed
2026-05,Climate Action,Chattogram,195,139,51325.23,53240.39,1.0373,6,Delayed
2026-05,Climate Action,Khulna,395,456,255509.77,244289.92,0.9561,3,At risk
2026-05,Climate Action,Rajshahi,393,399,139482.28,117237.5,0.8405,4,Delayed
2026-05,Women Empowerment,Dhaka,418,442,116455.89,96092.53,0.8251,5,Delayed
2026-05,Women Empowerment,Chattogram,273,218,97577.2,82094.79,0.8413,1,At risk
2026-05,Women Empowerment,Khulna,336,244,133930.17,103231.33,0.7708,3,At risk
2026-05,Women Empowerment,Rajshahi,169,131,257920.84,230977.41,0.8955,7,At risk
2026-06,Education,Dhaka,214,163,197313.15,200920.33,1.0183,0,At risk
2026-06,Education,Chattogram,111,120,269927.38,271496.34,1.0058,5,At risk
2026-06,Education,Khulna,255,249,114866.23,107900.73,0.9394,1,At risk
2026-06,Education,Rajshahi,194,137,77399.05,69731.85,0.9009,6,Delayed
2026-06,Primary Health,Dhaka,413,482,60996.66,62232.39,1.0203,0,Delayed
2026-06,Primary Health,Chattogram,296,297,73247.45,58649.09,0.8007,6,At risk
2026-06,Primary Health,Khulna,252,192,57173.08,47848.13,0.8369,1,On track
2026-06,Primary Health,Rajshahi,377,438,267886.47,240677.05,0.8984,7,On track
2026-06,Climate Action,Dhaka,163,130,255246.88,242637.86,0.9506,7,On track
2026-06,Climate Action,Chattogram,330,392,76600.93,61845.05,0.8074,6,Delayed
2026-06,Climate Action,Khulna,318,295,108727.33,90001.07,0.8278,4,On track
2026-06,Climate Action,Rajshahi,108,80,287919.16,228616.33,0.794,4,At risk
2026-06,Women Empowerment,Dhaka,300,330,126879.02,142776.97,1.1253,6,Delayed
2026-06,Women Empowerment,Chattogram,315,316,184354.57,176537.62,0.9576,1,At risk
2026-06,Women Empowerment,Khulna,400,305,55681.63,47100.39,0.8459,5,On track
2026-06,Women Empowerment,Rajshahi,173,159,184151.42,190442.93,1.0342,7,Delayed
2026-07,Education,Dhaka,294,337,293691.28,335387.89,1.142,7,At risk
2026-07,Education,Chattogram,142,105,220623.24,252857.28,1.1461,7,On track
2026-07,Education,Khulna,131,141,214001.86,215091.64,1.0051,1,At risk
2026-07,Education,Rajshahi,189,178,96570.03,80901.38,0.8377,0,Delayed
2026-07,Primary Health,Dhaka,220,159,114402.07,101289.53,0.8854,2,Delayed
2026-07,Primary Health,Chattogram,228,211,73581.71,80826.99,1.0985,1,On track
2026-07,Primary Health,Khulna,215,236,185117.1,164350.4,0.8878,7,At risk
2026-07,Primary Health,Rajshahi,258,301,238861.9,235139.36,0.9844,0,Delayed
2026-07,Climate Action,Dhaka,326,260,237707.96,204351.01,0.8597,2,On track
2026-07,Climate Action,Chattogram,283,326,165531.6,148244.61,0.8956,5,On track
2026-07,Climate Action,Khulna,165,151,186149.97,169116.65,0.9085,6,On track
2026-07,Climate Action,Rajshahi,232,236,243210.76,214240.12,0.8809,0,On track
2026-07,Women Empowerment,Dhaka,238,177,189032.02,172122.55,0.9105,0,Delayed
2026-07,Women Empowerment,Chattogram,228,160,61491.95,67149.79,1.092,4,At risk
2026-07,Women Empowerment,Khulna,195,165,54235.51,40919.13,0.7545,0,On track
2026-07,Women Empowerment,Rajshahi,81,94,249094.68,251183.64,1.0084,0,At risk
2026-08,Education,Dhaka,324,336,122023.96,115320.75,0.9451,6,On track
2026-08,Education,Chattogram,302,253,209782.88,193691.66,0.9233,7,At risk
2026-08,Education,Khulna,194,200,54464.22,55095.85,1.0116,5,At risk
2026-08,Education,Rajshahi,325,228,276600.65,257782.86,0.932,4,Delayed
2026-08,Primary Health,Dhaka,147,130,92657.5,103680.42,1.119,0,Delayed
2026-08,Primary Health,Chattogram,97,99,109479.54,108874.29,0.9945,3,Delayed
2026-08,Primary Health,Khulna,315,210,279102.53,211363.19,0.7573,4,On track
2026-08,Primary Health,Rajshahi,96,104,141199.28,134658.71,0.9537,5,At risk
2026-08,Climate Action,Dhaka,392,380,94851.73,104775.52,1.1046,3,On track
2026-08,Climate Action,Chattogram,346,276,188402.2,136842.17,0.7263,6,At risk
2026-08,Climate Action,Khulna,393,396,272142.49,268074.14,0.9851,2,Delayed
2026-08,Climate Action,Rajshahi,307,304,95384.96,67419.26,0.7068,6,Delayed
2026-08,Women Empowerment,Dhaka,288,271,251072.96,267534.04,1.0656,1,Delayed
2026-08,Women Empowerment,Chattogram,122,95,114013.47,104663.64,0.918,3,At risk
2026-08,Women Empowerment,Khulna,106,76,172295.54,123263.37,0.7154,3,At risk
2026-08,Women Empowerment,Rajshahi,192,195,139622.24,137315.55,0.9835,0,At risk
2026-09,Education,Dhaka,278,319,162222.64,172833.44,1.0654,7,On track
2026-09,Education,Chattogram,367,408,284607.99,242359.91,0.8516,4,On track
2026-09,Education,Khulna,413,342,66274.68,70138.02,1.0583,5,On track
2026-09,Education,Rajshahi,269,272,80992.7,80808.54,0.9977,0,On track
2026-09,Primary Health,Dhaka,157,124,269756.74,288848.76,1.0708,2,At risk
2026-09,Primary Health,Chattogram,398,354,103144.32,117694.75,1.1411,4,At risk
2026-09,Primary Health,Khulna,141,161,177986.28,167377.6,0.9404,5,Delayed
2026-09,Primary Health,Rajshahi,266,178,65472.59,62668.4,0.9572,2,On track
2026-09,Climate Action,Dhaka,387,312,129194.16,98441.78,0.762,6,At risk
2026-09,Climate Action,Chattogram,288,286,238645.57,262155.82,1.0985,6,On track
2026-09,Climate Action,Khulna,137,110,295811.48,306345.23,1.0356,7,Delayed
2026-09,Climate Action,Rajshahi,168,113,50851.26,58180.53,1.1441,3,On track
2026-09,Women Empowerment,Dhaka,207,149,225723.63,177938.36,0.7883,0,On track
2026-09,Women Empowerment,Chattogram,245,276,106154.9,81545.01,0.7682,3,At risk
