transaction_id,customer_id,transaction_date,revenue,channel
T0013-07,C0013,2026-03-22,5268.82,Store
T0013-08,C0013,2026-08-02,5430.42,Web
T0013-09,C0013,2026-01-02,5717.39,Web
T0013-10,C0013,2026-03-25,1510.88,Web
T0013-11,C0013,2026-07-31,1782.53,Store
T0014-01,C0014,2026-03-26,546.25,Store
T0015-01,C0015,2025-08-13,3131.0,Web
T0015-02,C0015,2026-02-01,1406.35,Web
T0015-03,C0015,2025-08-24,2227.85,Web
T0015-04,C0015,2025-10-20,4555.65,App
T0015-05,C0015,2025-10-29,1410.84,Web
T0015-06,C0015,2025-10-25,3302.72,Store
T0015-07,C0015,2025-12-15,5331.95,Store
T0016-01,C0016,2025-09-20,3568.02,Store
T0016-02,C0016,2025-03-01,3844.02,Store
T0016-03,C0016,2025-12-29,4205.72,Store
T0016-04,C0016,2025-11-02,5585.24,App
T0016-05,C0016,2025-04-28,4952.72,Web
T0016-06,C0016,2025-11-30,4859.46,App
T0016-07,C0016,2025-11-01,2833.02,App
T0016-08,C0016,2026-02-19,5575.58,App
T0016-09,C0016,2025-10-17,1412.55,App
T0016-10,C0016,2025-06-22,550.24,Web
T0016-11,C0016,2025-06-04,3308.22,Store
T0016-12,C0016,2025-11-21,735.47,Store
T0017-01,C0017,2025-08-11,3784.4,Web
T0017-02,C0017,2025-07-13,2801.01,Store
T0017-03,C0017,2025-04-21,4000.28,Web
T0017-04,C0017,2025-08-03,2306.13,Web
T0018-01,C0018,2026-02-06,1151.72,Store
T0018-02,C0018,2025-08-04,3651.73,Store
T0018-03,C0018,2025-08-06,523.47,App
T0018-04,C0018,2025-08-06,3810.98,App
T0019-01,C0019,2025-08-06,3502.4,Web
T0019-02,C0019,2025-09-25,1108.98,Store
T0019-03,C0019,2026-01-08,5557.34,Store
T0019-04,C0019,2025-08-09,1542.31,Store
T0019-05,C0019,2025-07-24,3673.99,Store
T0019-06,C0019,2025-08-12,1921.82,Web
T0020-01,C0020,2025-12-01,2618.71,App
T0020-02,C0020,2026-06-18,517.45,Web
T0020-03,C0020,2025-09-28,1289.63,App
T0020-04,C0020,2025-10-11,3715.22,Store
T0020-05,C0020,2026-07-29,1190.08,Store
T0020-06,C0020,2026-03-12,5366.3,App
T0020-07,C0020,2026-07-24,5474.39,Web
T0020-08,C0020,2026-04-16,4487.06,App
T0020-09,C0020,2026-02-06,1403.69,App
T0020-10,C0020,2025-10-12,2580.1,App
T0020-11,C0020,2025-12-13,797.8,App
T0020-12,C0020,2026-05-30,2895.6,Store
T0020-13,C0020,2025-12-09,5348.7,Store
T0021-01,C0021,2026-03-12,1894.91,Web
T0021-02,C0021,2026-04-15,2484.04,Web
T0021-03,C0021,2025-08-06,2539.32,App
T0021-04,C0021,2025-12-08,2795.67,App
T0021-05,C0021,2026-01-19,4509.61,Store
T0021-06,C0021,2025-05-19,2851.95,App
T0021-07,C0021,2025-05-23,5230.75,Store
T0021-08,C0021,2026-01-22,3190.02,Web
T0021-09,C0021,2026-02-20,1463.4,Store
T0021-10,C0021,2025-10-08,1809.86,Web
T0021-11,C0021,2025-09-26,583.79,App
T0021-12,C0021,2026-01-16,1094.04,App
T0021-13,C0021,2026-02-27,4313.5,Store
T0022-01,C0022,2026-01-21,1628.35,App
T0022-02,C0022,2026-01-29,2149.0,Web
T0022-03,C0022,2026-06-17,1530.7,Web
T0022-04,C0022,2026-06-18,4976.33,Store
T0022-05,C0022,2025-11-11,3550.13,Web
T0022-06,C0022,2026-05-20,3477.43,App
T0022-07,C0022,2026-01-14,2558.68,App
T0022-08,C0022,2026-04-01,2532.54,Web
T0022-09,C0022,2025-12-06,2658.24,Store
T0022-10,C0022,2026-03-07,1364.68,Web
T0022-11,C0022,2026-03-15,2991.26,Web
T0023-01,C0023,2025-03-19,696.13,Store
T0024-01,C0024,2025-03-23,5223.5,Web
T0024-02,C0024,2025-03-20,2055.17,App
T0024-03,C0024,2025-05-24,859.29,Web
T0024-04,C0024,2025-05-23,2034.78,App
T0024-05,C0024,2025-05-04,3501.28,Store
T0024-06,C0024,2025-03-02,1239.96,Web
T0024-07,C0024,2025-05-10,809.62,Web
T0024-08,C0024,2025-06-24,3037.72,Web
T0025-01,C0025,2026-02-02,1891.15,App
T0025-02,C0025,2025-12-26,3280.02,App
T0025-03,C0025,2025-06-06,4168.79,Store
T0025-04,C0025,2026-02-06,4974.56,Store
T0025-05,C0025,2025-07-19,1053.35,Store
T0025-06,C0025,2025-08-08,1209.41,App
T0025-07,C0025,2025-08-12,1183.51,Store
T0025-08,C0025,2025-10-29,2350.74,Web
T0026-01,C0026,2025-12-14,3330.0,App
T0026-02,C0026,2025-06-21,5368.55,App
T0026-03,C0026,2025-12-08,2022.11,Store
T0026-04,C0026,2025-03-31,2611.08,Store
T0026-05,C0026,2025-04-29,619.68,Store
T0026-06,C0026,2025-12-16,4749.86,App
T0026-07,C0026,2025-09-27,1207.36,Store
T0026-08,C0026,2025-06-30,5166.08,Store
T0026-09,C0026,2025-08-09,2738.69,Store
T0027-01,C0027,2025-07-10,4400.41,Store
T0027-02,C0027,2025-09-27,3125.61,Store
T0027-03,C0027,2025-07-23,3397.07,Web
T0027-04,C0027,2025-07-14,4048.69,Store
T0027-05,C0027,2025-06-27,5269.75,Web
T0027-06,C0027,2025-06-20,3882.59,Web
T0028-01,C0028,2026-05-02,1100.6,Web
T0028-02,C0028,2027-02-07,989.47,App
T0028-03,C0028,2026-09-03,2428.61,App
T0028-04,C0028,2026-06-02,3175.99,Web
T0028-05,C0028,2027-01-18,2178.06,Web
T0028-06,C0028,2026-05-26,1352.15,Store
T0028-07,C0028,2025-12-14,1924.9,Store
T0028-08,C0028,2026-01-15,1452.24,Web
T0028-09,C0028,2025-11-12,2348.66,Store
T0028-10,C0028,2026-11-06,1518.96,Web
T0028-11,C0028,2025-12-10,1987.84,App
T0028-12,C0028,2026-05-24,1839.96,Web
T0028-13,C0028,2026-02-11,5532.24,Web
T0028-14,C0028,2026-11-04,1811.29,Store
T0029-01,C0029,2025-10-30,456.5,Web
T0029-02,C0029,2026-02-17,523.26,App
T0029-03,C0029,2026-01-19,3292.06,Web
T0029-04,C0029,2025-12-03,4939.24,Web
T0029-05,C0029,2025-12-23,4466.9,Web
T0029-06,C0029,2026-04-04,536.66,Store
T0029-07,C0029,2026-02-05,3760.72,Store
T0030-01,C0030,2026-01-05,641.64,Store
T0030-02,C0030,2026-01-28,1837.88,App
T0030-03,C0030,2026-01-09,1538.36,Web
T0031-01,C0031,2027-05-13,5165.88,Web
T0031-02,C0031,2027-01-09,555.81,Store
T0031-03,C0031,2026-11-06,460.49,Store
T0031-04,C0031,2027-01-11,5685.93,Store
T0031-05,C0031,2026-07-10,380.6,App
T0031-06,C0031,2027-02-24,3835.04,App
T0031-07,C0031,2026-07-16,4905.98,Store
T0032-01,C0032,2026-01-19,601.12,App
T0032-02,C0032,2025-11-21,1530.88,Web
T0032-03,C0032,2025-10-02,4735.89,App
T0032-04,C0032,2026-08-25,803.47,Web
T0032-05,C0032,2026-04-18,5052.27,App
T0033-01,C0033,2026-09-08,4053.98,Store
T0034-01,C0034,2025-11-14,5553.94,App
T0034-02,C0034,2026-08-01,4162.47,Web
T0034-03,C0034,2026-03-02,4378.73,App
T0034-04,C0034,2025-08-03,1082.37,Web
T0034-05,C0034,2025-08-09,2151.11,App
T0034-06,C0034,2025-06-22,5368.31,Store
T0035-01,C0035,2025-03-09,829.73,Web
T0035-02,C0035,2025-03-10,1572.56,Store
T0035-03,C0035,2025-02-23,1191.51,Store
T0035-04,C0035,2025-05-31,3481.05,App
T0035-05,C0035,2025-03-24,501.93,Store
T0035-06,C0035,2025-02-07,814.0,Store
T0035-07,C0035,2025-03-27,3796.61,Store
T0035-08,C0035,2025-02-10,1538.17,Web
T0035-09,C0035,2025-09-20,1462.17,Store
T0035-10,C0035,2025-10-02,3925.0,Web
T0035-11,C0035,2025-05-17,3629.5,App
T0035-12,C0035,2025-03-08,2247.27,Store
T0036-01,C0036,2026-01-08,3695.04,App
T0036-02,C0036,2026-04-23,5152.04,Store
T0036-03,C0036,2026-02-12,2677.47,App
T0037-01,C0037,2025-05-20,1848.93,App
T0037-02,C0037,2025-07-21,1533.46,Store
T0037-03,C0037,2025-03-01,1571.92,App
T0037-04,C0037,2025-05-12,3709.54,Store
T0037-05,C0037,2025-04-03,302.54,App
T0037-06,C0037,2025-02-26,3632.02,App
T0038-01,C0038,2026-05-11,3616.91,Web
T0038-02,C0038,2026-01-01,2694.86,Web
T0038-03,C0038,2026-05-07,527.91,Store
T0038-04,C0038,2026-03-28,1656.53,Store
T0038-05,C0038,2025-11-15,2854.02,App
T0039-01,C0039,2025-09-08,1724.04,Store
T0039-02,C0039,2025-10-31,4771.84,Store
T0039-03,C0039,2025-11-14,4813.93,App
T0039-04,C0039,2026-01-30,5028.7,Web
T0039-05,C0039,2025-10-13,4175.21,App
T0039-06,C0039,2025-09-20,1952.31,Store
T0039-07,C0039,2026-02-20,4164.08,App
T0039-08,C0039,2026-02-22,3988.55,Store
T0039-09,C0039,2025-10-08,5194.05,Web
T0040-01,C0040,2026-05-26,4507.45,Web
T0040-02,C0040,2026-08-15,2551.16,App
T0040-03,C0040,2026-05-21,2728.22,App
T0041-01,C0041,2025-08-19,4190.0,Web
T0041-02,C0041,2026-02-08,1309.47,Store
T0042-01,C0042,2026-01-07,3422.71,Store
T0042-02,C0042,2026-02-14,2085.78,Store
T0042-03,C0042,2026-01-04,1241.65,Web
T0043-01,C0043,2025-05-01,5574.73,App
T0043-02,C0043,2025-08-10,3495.06,Store
T0043-03,C0043,2025-09-10,5543.31,Web
T0044-01,C0044,2025-11-30,1948.17,Store
T0044-02,C0044,2025-11-03,5268.77,Web
T0044-03,C0044,2026-03-09,4888.06,App
T0045-01,C0045,2026-11-29,1422.44,Store
T0045-02,C0045,2026-06-02,3480.21,Web
T0045-03,C0045,2027-05-03,260.55,Store
T0045-04,C0045,2025-12-20,3188.18,Store
T0045-05,C0045,2025-12-12,1921.99,App
T0045-06,C0045,2026-06-16,5639.03,App
T0045-07,C0045,2026-12-09,3834.17,Web
T0045-08,C0045,2026-06-13,4174.67,App
T0045-09,C0045,2025-11-25,3023.21,Store
T0045-10,C0045,2027-04-25,1013.57,Store
T0045-11,C0045,2026-12-22,1728.36,Web
T0045-12,C0045,2026-02-19,2961.76,Web
T0045-13,C0045,2026-02-23,654.44,Store
T0045-14,C0045,2025-12-18,2281.35,Web
T0045-15,C0045,2026-06-11,3239.34,Store
T0046-01,C0046,2025-06-07,2420.68,Web
T0046-02,C0046,2025-04-23,4127.66,App
T0046-03,C0046,2025-07-19,292.21,Store
T0046-04,C0046,2025-02-27,2861.66,Web
T0046-05,C0046,2025-06-08,1021.23,Store
T0046-06,C0046,2025-05-16,4546.14,App
T0046-07,C0046,2025-04-01,539.24,App
T0047-01,C0047,2025-04-25,869.07,App
T0047-02,C0047,2025-12-05,2660.65,Web
T0047-03,C0047,2025-12-28,5695.47,App
T0047-04,C0047,2025-09-01,4975.03,App
T0047-05,C0047,2026-01-28,3540.71,Web
T0047-06,C0047,2025-05-26,2834.85,Store
T0047-07,C0047,2025-05-19,2685.81,App
T0047-08,C0047,2026-02-04,4604.73,Web
T0048-01,C0048,2026-02-23,3432.89,Store
T0049-01,C0049,2026-04-16,376.27,Store
T0049-02,C0049,2025-12-13,3030.84,App
T0049-03,C0049,2026-09-29,2192.8,App
T0049-04,C0049,2026-10-22,681.54,Web
T0049-05,C0049,2026-04-26,4947.35,Store
T0049-06,C0049,2026-10-08,4649.83,Store
T0049-07,C0049,2026-08-27,3353.05,Web
T0049-08,C0049,2026-10-11,502.54,App
T0049-09,C0049,2026-03-18,5244.35,App
T0049-10,C0049,2026-01-06,1449.64,App
T0049-11,C0049,2026-08-24,2756.37,Store
T0049-12,C0049,2026-05-26,3622.74,Store
T0049-13,C0049,2026-11-20,3731.13,Store
T0049-14,C0049,2026-03-22,3864.78,App
T0050-01,C0050,2025-03-11,3696.34,App
T0050-02,C0050,2025-03-17,5263.89,Web
T0050-03,C0050,2025-03-24,1731.06,Web
T0051-01,C0051,2026-02-23,4893.61,Web
T0051-02,C0051,2026-05-29,2951.3,App
T0051-03,C0051,2026-06-16,3407.85,Store
T0051-04,C0051,2026-03-17,5573.79,App
T0051-05,C0051,2026-03-15,5439.04,Web
T0051-06,C0051,2026-01-12,5273.2,App
T0051-07,C0051,2026-02-02,4923.58,Store
T0052-01,C0052,2025-04-11,920.11,Store
T0052-02,C0052,2025-07-06,1594.68,Store
T0052-03,C0052,2025-03-14,686.07,Store
T0052-04,C0052,2025-08-05,526.59,Web
T0052-05,C0052,2025-09-22,431.88,Store
T0052-06,C0052,2025-10-13,1732.78,Web
T0052-07,C0052,2025-05-22,3391.27,App
T0052-08,C0052,2025-03-26,1996.04,Store
T0053-01,C0053,2025-10-06,4834.66,App
T0053-02,C0053,2025-10-15,2237.86,App
T0054-01,C0054,2025-03-26,4382.74,App
T0054-02,C0054,2025-02-09,3225.77,Web
T0055-01,C0055,2025-05-20,1137.87,Store
T0055-02,C0055,2025-05-21,5010.18,Web
T0055-03,C0055,2025-05-07,5048.36,App
T0056-01,C0056,2026-03-03,2959.07,Web
T0056-02,C0056,2025-08-28,4738.36,Web
T0056-03,C0056,2025-09-27,2672.3,App
T0056-04,C0056,2025-06-04,1705.66,Web
T0056-05,C0056,2025-05-10,4237.25,Store
T0056-06,C0056,2026-03-13,4795.1,Store
T0056-07,C0056,2025-06-19,921.0,Web
T0056-08,C0056,2025-11-18,2961.28,Store
T0056-09,C0056,2025-08-06,5290.34,Web
T0056-10,C0056,2025-09-16,4210.02,App
T0057-01,C0057,2026-06-14,4957.22,Store
T0057-02,C0057,2026-07-26,1300.06,Web
T0057-03,C0057,2026-08-05,339.87,Web
T0057-04,C0057,2026-01-22,2834.98,Web
T0057-05,C0057,2026-05-05,5601.51,App
T0058-01,C0058,2025-04-11,3919.98,Store
T0058-02,C0058,2025-03-25,2341.28,App
T0058-03,C0058,2025-03-06,1829.39,Store
T0059-01,C0059,2026-02-24,1357.13,Web
T0059-02,C0059,2025-11-28,5181.1,Store
T0059-03,C0059,2025-11-30,4258.52,Store
T0059-04,C0059,2026-01-21,2420.1,Store
T0059-05,C0059,2026-08-25,1258.34,App
T0059-06,C0059,2026-09-16,2667.57,Store
T0059-07,C0059,2026-10-03,4460.49,Store
T0059-08,C0059,2025-12-07,867.67,Store
T0059-09,C0059,2026-03-29,4003.43,Store
T0059-10,C0059,2026-11-24,3318.5,Web
T0059-11,C0059,2026-12-13,4852.63,Store
T0059-12,C0059,2026-10-02,3318.75,App
T0059-13,C0059,2026-12-23,3742.06,Web
T0059-14,C0059,2026-06-12,1667.08,Store
T0060-01,C0060,2025-09-05,3575.53,Web
T0060-02,C0060,2025-11-08,1386.97,Web
T0060-03,C0060,2025-10-24,502.54,App
T0060-04,C0060,2025-10-25,532.33,Web
T0060-05,C0060,2025-07-22,3577.75,App
T0060-06,C0060,2025-09-14,3061.13,Web
T0061-01,C0061,2026-07-01,3637.37,Web
T0062-01,C0062,2026-07-22,2194.62,Web
T0062-02,C0062,2026-04-02,4471.4,Web
T0062-03,C0062,2025-10-20,4020.27,App
T0062-04,C0062,2026-04-01,763.07,App
T0062-05,C0062,2026-02-09,2666.52,Store
T0063-01,C0063,2025-11-16,753.46,App
T0063-02,C0063,2025-11-20,1171.45,App
T0063-03,C0063,2026-01-05,4620.8,App
T0064-01,C0064,2025-11-10,3484.2,App
T0064-02,C0064,2026-04-24,995.98,Store
T0064-03,C0064,2025-05-29,576.68,Web
T0064-04,C0064,2025-06-07,3199.52,Web
T0064-05,C0064,2025-08-02,3020.77,Store
T0064-06,C0064,2025-11-15,2962.79,Store
T0064-07,C0064,2025-05-23,1126.19,Store
T0064-08,C0064,2025-12-28,4907.91,App
T0064-09,C0064,2025-08-01,1287.98,Web
T0064-10,C0064,2025-05-06,1258.91,Web
T0064-11,C0064,2026-03-02,5459.81,Web
T0065-01,C0065,2026-02-21,3860.26,Web
T0065-02,C0065,2026-01-09,541.36,App
T0065-03,C0065,2025-12-11,4061.69,App
T0065-04,C0065,2025-12-11,4098.87,Store
T0065-05,C0065,2026-03-26,343.15,Store
T0066-01,C0066,2026-01-01,5731.98,Web
T0067-01,C0067,2025-10-13,2512.73,Web
T0067-02,C0067,2025-10-21,4017.38,Web
T0068-01,C0068,2025-09-29,2824.36,Store
T0068-02,C0068,2026-12-02,5682.88,Web
T0068-03,C0068,2026-03-30,2414.83,Store
T0068-04,C0068,2026-12-08,1805.42,Store
T0068-05,C0068,2026-07-25,3080.17,Store
T0068-06,C0068,2026-02-11,2949.45,Store
T0068-07,C0068,2026-03-07,2808.74,Store
T0068-08,C0068,2026-05-08,285.65,Web
T0068-09,C0068,2025-11-07,4369.84,Store
T0068-10,C0068,2027-01-17,1412.18,Web
T0069-01,C0069,2025-04-24,4282.0,Web
T0069-02,C0069,2025-03-19,821.65,Web
T0069-03,C0069,2025-08-01,2124.02,Store
T0069-04,C0069,2025-03-18,4303.78,App
T0069-05,C0069,2025-08-31,4014.68,Web
T0069-06,C0069,2025-12-18,3258.88,Store
T0069-07,C0069,2025-03-15,5692.33,Store
T0069-08,C0069,2025-12-21,5694.27,App
T0069-09,C0069,2025-04-25,2583.67,Web
T0069-10,C0069,2026-01-14,5029.95,App
T0070-01,C0070,2025-12-25,773.65,App
T0071-01,C0071,2025-10-24,5711.83,Web
T0071-02,C0071,2026-07-02,1886.8,App
T0071-03,C0071,2025-12-05,1324.82,Web
T0071-04,C0071,2026-06-04,3477.4,Store
T0071-05,C0071,2026-01-12,5132.1,Store
T0071-06,C0071,2026-01-02,3881.28,Web
T0071-07,C0071,2026-02-18,2565.82,Store
T0071-08,C0071,2026-08-22,5175.1,App
T0071-09,C0071,2026-08-05,1963.05,Web
T0071-10,C0071,2026-09-21,2031.14,Web
T0072-01,C0072,2025-03-30,462.52,Web
T0072-02,C0072,2025-08-09,3297.57,Store
T0072-03,C0072,2025-10-23,3690.03,Web
T0072-04,C0072,2026-01-19,1418.05,App
T0072-05,C0072,2025-02-12,3502.98,Web
T0072-06,C0072,2025-09-19,1396.95,Web
T0072-07,C0072,2025-05-25,2136.2,Store
T0072-08,C0072,2026-02-10,4050.42,Store
T0072-09,C0072,2025-07-19,1417.92,Store
T0072-10,C0072,2025-06-06,4127.62,App
T0072-11,C0072,2025-02-07,3210.88,Web
T0073-01,C0073,2025-07-11,4369.42,App
T0073-02,C0073,2025-08-07,3559.57,Store
T0073-03,C0073,2025-05-21,714.3,Web
T0073-04,C0073,2025-04-18,605.59,Web
T0073-05,C0073,2025-05-22,668.59,App
T0073-06,C0073,2025-04-15,4280.01,Web
T0073-07,C0073,2025-09-06,4986.17,Web
T0073-08,C0073,2025-08-02,663.39,Web
T0073-09,C0073,2025-08-21,2245.04,Store
T0074-01,C0074,2025-10-14,4995.92,Web
T0074-02,C0074,2025-09-22,5704.46,App
T0074-03,C0074,2025-10-07,1265.41,Web
T0074-04,C0074,2025-08-25,2782.19,App
T0074-05,C0074,2025-09-09,352.64,Store
T0074-06,C0074,2025-05-11,2896.84,App
T0074-07,C0074,2025-10-20,2679.5,Web
T0075-01,C0075,2025-09-25,1604.81,Store
T0075-02,C0075,2025-11-26,847.68,Store
T0075-03,C0075,2025-11-11,1721.98,Store
T0075-04,C0075,2025-10-01,3829.09,Web
T0075-05,C0075,2025-11-12,2250.39,Store
T0075-06,C0075,2025-11-28,2354.91,Web
T0076-01,C0076,2026-01-08,556.42,Web
T0077-01,C0077,2026-06-01,2072.22,Web
T0077-02,C0077,2026-05-29,3215.13,App
T0077-03,C0077,2025-09-30,4683.39,Web
T0077-04,C0077,2025-11-20,3183.42,App
T0077-05,C0077,2025-04-04,1009.7,Web
T0077-06,C0077,2026-05-24,4503.88,Web
T0078-01,C0078,2026-07-16,2615.83,Web
T0078-02,C0078,2026-06-27,3991.39,Store
T0078-03,C0078,2026-12-18,4683.13,Store
T0079-01,C0079,2026-10-21,2961.13,Web
T0079-02,C0079,2025-11-09,2016.01,App
T0079-03,C0079,2026-09-22,4342.19,App
T0079-04,C0079,2025-07-12,5361.85,Store
T0079-05,C0079,2026-04-11,632.82,Store
T0079-06,C0079,2026-10-16,4977.12,Web
T0080-01,C0080,2025-10-21,2164.13,Store
T0080-02,C0080,2025-06-30,1269.71,Web
T0080-03,C0080,2025-04-10,2643.52,App
T0080-04,C0080,2026-03-24,4439.66,Web
T0081-01,C0081,2027-04-07,3663.98,Store
T0081-02,C0081,2026-10-04,3621.77,Store
T0081-03,C0081,2027-01-07,2073.25,Web
T0081-04,C0081,2026-01-10,257.01,Web
T0082-01,C0082,2025-04-12,1570.35,Web
T0082-02,C0082,2025-03-24,5554.69,Web
T0082-03,C0082,2025-04-04,1849.45,App
T0082-04,C0082,2025-01-15,1049.11,App
T0082-05,C0082,2025-03-09,459.79,App
T0082-06,C0082,2025-02-25,5262.07,Store
T0083-01,C0083,2025-05-07,4320.3,App
T0083-02,C0083,2025-09-20,1727.8,Web
T0083-03,C0083,2025-09-10,3965.42,Store
T0083-04,C0083,2025-05-25,3261.12,Store
T0083-05,C0083,2025-05-04,1198.82,Store
T0083-06,C0083,2025-07-14,1585.82,Web
T0083-07,C0083,2025-10-24,3745.16,Store
T0083-08,C0083,2025-10-07,5730.5,Store
T0083-09,C0083,2025-06-30,2061.2,App
T0083-10,C0083,2025-03-02,5484.04,App
T0083-11,C0083,2025-04-30,1126.63,Store
T0084-01,C0084,2025-08-17,1813.2,Web
T0084-02,C0084,2025-08-16,4200.53,Store
T0084-03,C0084,2025-11-24,269.78,App
T0085-01,C0085,2025-02-25,4723.8,Web
T0085-02,C0085,2025-03-31,1849.8,Store
T0085-03,C0085,2025-05-03,3983.52,Web
T0085-04,C0085,2026-01-01,1414.19,Web
T0085-05,C0085,2025-02-22,4266.43,Web
T0085-06,C0085,2025-06-20,2777.32,Store
T0085-07,C0085,2025-07-20,2738.41,Store
T0085-08,C0085,2025-07-05,3149.13,App
T0085-09,C0085,2025-07-17,3831.68,App
T0085-10,C0085,2026-06-23,5601.81,App
T0085-11,C0085,2025-10-29,2112.47,Store
T0085-12,C0085,2025-12-30,5005.72,Web
T0085-13,C0085,2026-03-30,3716.96,Store
T0085-14,C0085,2026-02-19,1300.69,Store
T0085-15,C0085,2026-07-08,5054.73,Store
T0085-16,C0085,2025-10-04,5149.86,Store
T0085-17,C0085,2025-12-08,3657.23,Store
T0085-18,C0085,2025-03-23,879.84,App
T0086-01,C0086,2025-11-03,4655.71,Store
T0086-02,C0086,2025-04-07,4877.79,App
T0086-03,C0086,2025-09-13,3573.33,Store
T0086-04,C0086,2025-02-17,4144.29,Web
T0086-05,C0086,2025-05-12,1922.26,Web
T0086-06,C0086,2025-06-21,1935.49,Store
T0086-07,C0086,2025-03-21,3568.53,Web
T0087-01,C0087,2025-04-14,4029.55,Store
T0087-02,C0087,2025-05-02,641.37,App
T0088-01,C0088,2026-02-06,3934.74,Store
T0088-02,C0088,2026-03-24,1867.68,Web
T0088-03,C0088,2026-01-27,1700.3,Web
T0089-01,C0089,2026-01-07,3127.91,Store
T0089-02,C0089,2025-02-27,3266.02,Store
T0089-03,C0089,2025-08-07,4905.49,Web
T0089-04,C0089,2026-03-20,2743.22,Store
T0089-05,C0089,2025-11-20,1703.07,Web
T0089-06,C0089,2026-02-12,1515.04,Web
T0089-07,C0089,2026-05-24,4017.83,App
T0089-08,C0089,2025-12-19,2964.96,App
T0089-09,C0089,2025-08-28,3789.36,Store
T0089-10,C0089,2025-09-14,3174.71,Web
T0089-11,C0089,2026-05-20,1714.78,App
T0089-12,C0089,2025-03-06,379.73,App
T0090-01,C0090,2026-01-25,5637.56,Web
T0090-02,C0090,2026-01-27,5176.91,Web
T0091-01,C0091,2025-07-04,3964.84,App
T0092-01,C0092,2026-03-27,3838.48,Web
T0092-02,C0092,2026-05-04,565.01,App
T0092-03,C0092,2026-04-17,1984.38,Web
T0092-04,C0092,2026-03-16,4025.94,Web
T0092-05,C0092,2026-03-03,5228.45,Store
T0093-01,C0093,2025-06-10,5060.94,App
T0093-02,C0093,2025-09-13,3156.84,Web
T0093-03,C0093,2025-05-02,4767.88,App
T0093-04,C0093,2025-06-03,2382.46,Store
T0093-05,C0093,2025-07-19,2962.02,Store
T0093-06,C0093,2025-05-16,3273.5,Web
T0093-07,C0093,2025-07-03,3341.56,App
T0093-08,C0093,2025-04-01,3113.93,Web
T0093-09,C0093,2025-08-28,3400.92,Web
