order_id,customer_id,order_date,city,segment,order_value_bdt,returned
ORD-0142,C-052,2025-09-02,Narayanganj,Small Business,747,No
ORD-0143,C-003,2025-09-05,Chattogram,Consumer,974,No
ORD-0144,C-014,2025-09-08,Sylhet,Corporate,1201,No
ORD-0145,C-025,2025-09-11,Dhaka,Small Business,978,No
ORD-0146,C-036,2025-09-14,Gazipur,Consumer,1205,Yes
ORD-0147,C-047,2025-09-17,Narayanganj,Corporate,1432,No
ORD-0148,C-058,2025-09-20,Chattogram,Small Business,1659,No
ORD-0149,C-009,2025-09-23,Sylhet,Consumer,1886,No
ORD-0150,C-020,2025-09-26,Dhaka,Corporate,1663,No
ORD-0151,C-031,2025-09-29,Gazipur,Small Business,1890,No
ORD-0152,C-042,2025-10-02,Narayanganj,Consumer,2117,No
ORD-0153,C-053,2025-10-05,Chattogram,Corporate,2344,No
ORD-0154,C-004,2025-10-08,Sylhet,Small Business,2571,No
ORD-0155,C-015,2025-10-11,Dhaka,Consumer,2348,No
ORD-0156,C-026,2025-10-14,Gazipur,Corporate,2575,No
ORD-0157,C-037,2025-10-17,Narayanganj,Small Business,2802,No
ORD-0158,C-048,2025-10-20,Chattogram,Consumer,3029,No
ORD-0159,C-059,2025-10-23,Sylhet,Corporate,3256,No
ORD-0160,C-010,2025-10-26,Dhaka,Small Business,3033,No
ORD-0161,C-021,2025-10-29,Gazipur,Consumer,3260,No
ORD-0162,C-032,2025-11-01,Narayanganj,Corporate,3487,No
ORD-0163,C-043,2025-11-04,Chattogram,Small Business,3714,No
ORD-0164,C-054,2025-11-07,Sylhet,Consumer,3941,No
ORD-0165,C-005,2025-11-10,Dhaka,Corporate,3718,No
ORD-0166,C-016,2025-11-13,Gazipur,Small Business,3945,No
ORD-0167,C-027,2025-11-16,Narayanganj,Consumer,4172,No
ORD-0168,C-038,2025-11-19,Chattogram,Corporate,4399,No
ORD-0169,C-049,2025-11-22,Sylhet,Small Business,4626,No
ORD-0170,C-060,2025-11-25,Dhaka,Consumer,4403,No
ORD-0171,C-011,2025-11-28,Gazipur,Corporate,4630,No
ORD-0172,C-022,2025-12-01,Narayanganj,Small Business,4857,No
ORD-0173,C-033,2025-12-04,Chattogram,Consumer,5084,No
ORD-0174,C-044,2025-12-07,Sylhet,Corporate,5311,No
ORD-0175,C-055,2025-12-10,Dhaka,Small Business,5088,Yes
ORD-0176,C-006,2025-12-13,Gazipur,Consumer,5315,No
ORD-0177,C-017,2025-12-16,Narayanganj,Corporate,742,No
ORD-0178,C-028,2025-12-19,Chattogram,Small Business,969,No
ORD-0179,C-039,2025-12-22,Sylhet,Consumer,1196,No
ORD-0180,C-050,2025-12-25,Dhaka,Corporate,973,No
