order_id,order_date,customer_id,product_id,product_name,category,region,channel,quantity,unit_price,discount,revenue,cost,profit,margin
O0020,2025-11-29,C093,P101,Shirt,Apparel,Khulna,Partner,1,767.35,0.1,690.62,442.04,248.58,0.3599
O0021,2025-08-23,C094,P105,Monitor,Electronics,Dhaka,Online,4,13560.0,0,54240.0,35240.25,18999.75,0.3503
O0022,2026-07-04,C114,P102,Polo Shirt,Apparel,Khulna,Retail,7,1057.17,0,7400.19,4789.41,2610.78,0.3528
O0023,2026-12-25,C119,P106,Headset,Electronics,Dhaka,Retail,2,3068.17,0,6136.34,3839.13,2297.21,0.3744
O0024,2025-08-25,C011,P106,Headset,Electronics,Khulna,Retail,6,3292.73,0,19756.38,15009.5,4746.88,0.2403
O0025,2025-08-04,C001,P110,Pen Set,Stationery,Dhaka,Retail,4,340.25,0,1361.0,922.35,438.65,0.3223
O0026,2025-11-09,C041,P101,Shirt,Apparel,Chattogram,Partner,5,763.0,0,3815.0,2809.25,1005.75,0.2636
O0027,2025-02-19,C017,P102,Polo Shirt,Apparel,Chattogram,Retail,1,1066.01,0,1066.01,659.47,406.54,0.3814
O0028,2026-05-09,C081,P109,Notebook,Stationery,Rajshahi,Partner,5,179.24,0,896.2,577.15,319.05,0.356
O0029,2025-10-16,C060,P108,Laptop Stand,Accessories,Rajshahi,Online,2,1503.38,0.15,2555.75,1534.4,1021.35,0.3996
O0030,2026-11-09,C016,P108,Laptop Stand,Accessories,Dhaka,Retail,4,1569.58,0,6278.32,4706.11,1572.21,0.2504
O0031,2025-02-10,C077,P107,Backpack,Accessories,Dhaka,Retail,2,1775.93,0,3551.86,2633.33,918.53,0.2586
O0032,2025-06-07,C003,P112,Webcam,Electronics,Rajshahi,Retail,1,4234.76,0,4234.76,2803.78,1430.98,0.3379
O0033,2026-04-04,C022,P111,Desk Lamp,Accessories,Khulna,Online,3,2211.38,0,6634.14,4144.99,2489.15,0.3752
O0034,2025-09-17,C006,P101,Shirt,Apparel,Rajshahi,Retail,3,791.53,0,2374.59,1590.79,783.8,0.3301
O0035,2025-02-18,C090,P112,Webcam,Electronics,Rajshahi,Retail,2,4229.64,0.15,7190.39,4610.14,2580.25,0.3588
O0036,2026-02-16,C012,P109,Notebook,Stationery,Khulna,Retail,4,177.76,0.1,639.94,422.08,217.86,0.3404
O0037,2026-07-27,C041,P104,Keyboard,Electronics,Khulna,Retail,2,2136.3,0.15,3631.71,2572.12,1059.59,0.2918
O0038,2025-09-14,C030,P112,Webcam,Electronics,Chattogram,Partner,7,4109.52,0.15,24451.64,15849.24,8602.4,0.3518
O0039,2025-06-09,C090,P111,Desk Lamp,Accessories,Dhaka,Online,5,2200.5,0,11002.5,8300.59,2701.91,0.2456
O0040,2026-12-11,C083,P106,Headset,Electronics,Rajshahi,Online,3,3205.7,0.15,8174.53,6052.46,2122.07,0.2596
O0041,2025-02-05,C055,P105,Monitor,Electronics,Chattogram,Retail,2,15320.51,0.1,27576.92,18616.25,8960.67,0.3249
O0042,2025-11-21,C055,P102,Polo Shirt,Apparel,Rajshahi,Online,2,1073.02,0.15,1824.13,1193.9,630.23,0.3455
O0043,2025-10-10,C100,P108,Laptop Stand,Accessories,Khulna,Partner,2,1636.81,0.1,2946.26,1731.66,1214.6,0.4123
O0044,2025-12-05,C019,P105,Monitor,Electronics,Dhaka,Partner,2,14782.73,0.05,28087.19,19521.7,8565.49,0.305
O0045,2026-05-08,C030,P106,Headset,Electronics,Chattogram,Retail,7,3127.62,0,21893.34,13095.48,8797.86,0.4019
O0046,2025-03-14,C080,P101,Shirt,Apparel,Chattogram,Retail,5,830.77,0,4153.85,2568.39,1585.46,0.3817
O0047,2026-11-14,C016,P108,Laptop Stand,Accessories,Khulna,Online,1,1573.35,0.05,1494.68,970.77,523.91,0.3505
O0048,2025-06-08,C073,P107,Backpack,Accessories,Khulna,Partner,3,1904.56,0,5713.68,4263.07,1450.61,0.2539
O0049,2026-07-21,C013,P109,Notebook,Stationery,Chattogram,Retail,2,185.72,0.05,352.87,249.5,103.37,0.2929
O0050,2026-09-16,C064,P103,Trousers,Apparel,Khulna,Online,7,1608.74,0,11261.18,6541.76,4719.42,0.4191
O0051,2025-11-23,C023,P101,Shirt,Apparel,Rajshahi,Retail,7,857.09,0,5999.63,3918.62,2081.01,0.3469
O0052,2025-09-07,C055,P104,Keyboard,Electronics,Dhaka,Partner,7,2308.03,0,16156.21,10381.74,5774.47,0.3574
O0053,2026-06-08,C016,P104,Keyboard,Electronics,Khulna,Partner,7,2319.41,0,16235.87,9740.48,6495.39,0.4001
O0054,2025-02-17,C056,P108,Laptop Stand,Accessories,Chattogram,Partner,4,1563.7,0.1,5629.32,3876.5,1752.82,0.3114
O0055,2026-02-22,C110,P102,Polo Shirt,Apparel,Rajshahi,Online,5,1150.42,0.1,5176.89,3454.17,1722.72,0.3328
O0056,2026-05-24,C079,P110,Pen Set,Stationery,Khulna,Partner,6,372.99,0.05,2126.04,1279.31,846.73,0.3983
O0057,2026-08-04,C060,P108,Laptop Stand,Accessories,Khulna,Online,7,1701.76,0,11912.32,7295.74,4616.58,0.3875
O0058,2025-05-13,C085,P105,Monitor,Electronics,Chattogram,Online,2,13646.87,0.1,24564.37,14969.98,9594.39,0.3906
O0059,2026-05-31,C035,P102,Polo Shirt,Apparel,Chattogram,Partner,4,1149.08,0.1,4136.69,2586.91,1549.78,0.3746
O0060,2025-10-15,C070,P112,Webcam,Electronics,Rajshahi,Partner,4,4387.21,0.1,15793.96,10816.81,4977.15,0.3151
O0061,2025-09-27,C105,P101,Shirt,Apparel,Chattogram,Online,5,818.83,0.1,3684.74,2582.31,1102.43,0.2992
O0062,2026-11-06,C012,P111,Desk Lamp,Accessories,Dhaka,Online,2,2255.72,0,4511.44,3412.62,1098.82,0.2436
O0063,2026-04-28,C111,P108,Laptop Stand,Accessories,Rajshahi,Online,5,1541.92,0.1,6938.64,4785.95,2152.69,0.3102
O0064,2025-10-17,C112,P112,Webcam,Electronics,Khulna,Partner,6,4304.11,0,25824.66,15091.71,10732.95,0.4156
O0065,2025-11-02,C118,P107,Backpack,Accessories,Chattogram,Retail,2,1879.98,0,3759.96,2658.58,1101.38,0.2929
O0066,2025-10-29,C059,P102,Polo Shirt,Apparel,Rajshahi,Online,1,1092.24,0.15,928.4,643.97,284.43,0.3064
O0067,2025-12-29,C097,P104,Keyboard,Electronics,Dhaka,Online,6,2358.36,0.1,12735.14,8029.48,4705.66,0.3695
O0068,2025-05-12,C055,P109,Notebook,Stationery,Rajshahi,Online,1,189.02,0,189.02,122.51,66.51,0.3519
O0069,2026-11-29,C038,P105,Monitor,Electronics,Rajshahi,Partner,6,14994.74,0,89968.44,53125.88,36842.56,0.4095
O0070,2025-06-08,C056,P108,Laptop Stand,Accessories,Chattogram,Retail,6,1549.78,0.15,7903.88,5063.32,2840.56,0.3594
O0071,2025-08-30,C010,P103,Trousers,Apparel,Chattogram,Partner,5,1558.47,0,7792.35,5628.67,2163.68,0.2777
O0072,2025-04-14,C103,P110,Pen Set,Stationery,Chattogram,Online,3,351.91,0.15,897.37,573.78,323.59,0.3606
O0073,2025-04-12,C008,P105,Monitor,Electronics,Dhaka,Retail,2,14215.9,0,28431.8,19907.65,8524.15,0.2998
O0074,2025-03-13,C016,P106,Headset,Electronics,Dhaka,Partner,5,3042.0,0,15210.0,8847.38,6362.62,0.4183
O0075,2026-05-14,C061,P110,Pen Set,Stationery,Dhaka,Online,7,332.21,0.15,1976.65,1306.12,670.53,0.3392
O0076,2025-11-24,C001,P104,Keyboard,Electronics,Rajshahi,Retail,5,2168.54,0,10842.7,6616.23,4226.47,0.3898
O0077,2026-03-30,C114,P101,Shirt,Apparel,Khulna,Retail,4,840.22,0.05,3192.84,2348.47,844.37,0.2645
O0078,2026-01-22,C046,P101,Shirt,Apparel,Khulna,Retail,2,789.44,0.05,1499.94,881.71,618.23,0.4122
O0079,2025-07-21,C027,P111,Desk Lamp,Accessories,Chattogram,Retail,1,2051.26,0,2051.26,1537.07,514.19,0.2507
O0080,2026-09-12,C021,P104,Keyboard,Electronics,Rajshahi,Retail,5,2115.03,0.05,10046.39,6384.37,3662.02,0.3645
O0081,2025-07-26,C008,P105,Monitor,Electronics,Dhaka,Online,2,15044.52,0,30089.04,21530.35,8558.69,0.2844
O0082,2025-02-19,C085,P105,Monitor,Electronics,Khulna,Partner,7,14327.39,0.15,85247.97,49877.1,35370.87,0.4149
O0083,2025-02-13,C085,P103,Trousers,Apparel,Dhaka,Retail,6,1429.38,0.15,7289.84,5416.6,1873.24,0.257
O0084,2025-05-29,C063,P101,Shirt,Apparel,Chattogram,Retail,4,788.17,0.15,2679.78,1917.18,762.6,0.2846
O0085,2026-04-03,C100,P109,Notebook,Stationery,Khulna,Retail,2,183.85,0,367.7,226.32,141.38,0.3845
O0086,2025-08-04,C100,P102,Polo Shirt,Apparel,Dhaka,Retail,2,1060.87,0,2121.74,1291.45,830.29,0.3913
O0087,2026-02-09,C073,P106,Headset,Electronics,Dhaka,Retail,7,2981.47,0.15,17739.75,11434.9,6304.85,0.3554
O0088,2025-02-01,C011,P101,Shirt,Apparel,Chattogram,Online,2,808.53,0.1,1455.35,1013.55,441.8,0.3036
O0089,2025-01-26,C102,P112,Webcam,Electronics,Rajshahi,Partner,3,4230.68,0.1,11422.84,7986.57,3436.27,0.3008
O0090,2026-08-21,C065,P112,Webcam,Electronics,Dhaka,Retail,2,4476.0,0.1,8056.8,5924.53,2132.27,0.2647
O0091,2025-05-27,C008,P101,Shirt,Apparel,Dhaka,Online,5,812.11,0,4060.55,2798.2,1262.35,0.3109
O0092,2026-02-09,C033,P110,Pen Set,Stationery,Chattogram,Retail,4,357.52,0,1430.08,1084.54,345.54,0.2416
O0093,2025-04-11,C020,P101,Shirt,Apparel,Chattogram,Partner,2,797.92,0.1,1436.26,1070.35,365.91,0.2548
O0094,2026-02-02,C002,P105,Monitor,Electronics,Dhaka,Retail,6,14584.16,0.05,83129.71,61870.25,21259.46,0.2557
O0095,2026-10-29,C119,P106,Headset,Electronics,Rajshahi,Retail,3,3217.64,0,9652.92,6341.45,3311.47,0.3431
O0096,2026-02-14,C091,P104,Keyboard,Electronics,Chattogram,Partner,7,2303.47,0.15,13705.65,9682.57,4023.08,0.2935
O0097,2025-07-26,C058,P102,Polo Shirt,Apparel,Chattogram,Retail,5,1033.79,0.1,4652.06,3362.7,1289.36,0.2772
O0098,2025-02-06,C083,P108,Laptop Stand,Accessories,Chattogram,Partner,5,1511.05,0,7555.25,5540.92,2014.33,0.2666
O0099,2026-12-15,C024,P109,Notebook,Stationery,Chattogram,Retail,7,176.02,0,1232.14,851.71,380.43,0.3088
O0100,2026-04-01,C062,P101,Shirt,Apparel,Dhaka,Partner,7,822.8,0,5759.6,3341.15,2418.45,0.4199
O0101,2026-05-06,C029,P103,Trousers,Apparel,Khulna,Partner,4,1524.48,0,6097.92,4038.03,2059.89,0.3378
O0102,2026-07-05,C081,P105,Monitor,Electronics,Dhaka,Online,5,15200.55,0.1,68402.48,43530.73,24871.75,0.3636
O0103,2026-04-13,C119,P110,Pen Set,Stationery,Khulna,Online,3,361.04,0.15,920.65,539.93,380.72,0.4135
O0104,2025-08-10,C045,P110,Pen Set,Stationery,Khulna,Retail,1,343.21,0.05,326.05,202.55,123.5,0.3788
O0105,2025-03-06,C061,P101,Shirt,Apparel,Rajshahi,Retail,2,748.85,0,1497.7,1131.29,366.41,0.2446
O0106,2026-12-15,C115,P111,Desk Lamp,Accessories,Chattogram,Partner,6,2267.13,0.1,12242.5,7646.9,4595.6,0.3754
O0107,2025-10-29,C044,P112,Webcam,Electronics,Rajshahi,Partner,2,4452.77,0,8905.54,6296.94,2608.6,0.2929
O0108,2025-02-13,C057,P108,Laptop Stand,Accessories,Dhaka,Partner,4,1579.23,0,6316.92,4159.83,2157.09,0.3415
O0109,2026-06-27,C021,P106,Headset,Electronics,Rajshahi,Partner,2,3168.93,0,6337.86,4284.89,2052.97,0.3239
O0110,2026-09-16,C052,P109,Notebook,Stationery,Dhaka,Online,1,181.2,0.15,154.02,105.98,48.04,0.3119
O0111,2025-12-25,C043,P108,Laptop Stand,Accessories,Rajshahi,Online,2,1567.46,0,3134.92,2224.81,910.11,0.2903
O0112,2025-06-30,C059,P106,Headset,Electronics,Chattogram,Online,5,3297.29,0.1,14837.81,9869.41,4968.4,0.3348
O0113,2026-12-09,C050,P104,Keyboard,Electronics,Rajshahi,Partner,1,2195.07,0.15,1865.81,1183.85,681.96,0.3655
O0114,2026-12-09,C098,P104,Keyboard,Electronics,Dhaka,Retail,2,2170.26,0.1,3906.47,2323.27,1583.2,0.4053
O0115,2026-09-30,C084,P105,Monitor,Electronics,Khulna,Online,1,13602.86,0.15,11562.43,6961.23,4601.2,0.3979
O0116,2025-01-06,C039,P110,Pen Set,Stationery,Chattogram,Retail,6,351.23,0.05,2002.01,1314.94,687.07,0.3432
O0117,2026-03-29,C001,P107,Backpack,Accessories,Chattogram,Retail,3,1922.0,0.05,5477.7,3864.71,1612.99,0.2945
O0118,2026-05-19,C097,P110,Pen Set,Stationery,Dhaka,Partner,2,361.81,0.05,687.44,415.55,271.89,0.3955
O0119,2026-05-21,C024,P108,Laptop Stand,Accessories,Dhaka,Online,6,1598.69,0,9592.14,5666.73,3925.41,0.4092
O0120,2026-11-01,C044,P108,Laptop Stand,Accessories,Rajshahi,Partner,6,1567.44,0,9404.64,5696.88,3707.76,0.3942
O0121,2026-11-12,C009,P101,Shirt,Apparel,Dhaka,Online,4,759.21,0,3036.84,1775.88,1260.96,0.4152
O0122,2026-05-02,C010,P105,Monitor,Electronics,Rajshahi,Retail,5,15113.4,0.15,64231.95,41435.02,22796.93,0.3549
O0123,2026-02-16,C081,P107,Backpack,Accessories,Chattogram,Online,6,1878.25,0.1,10142.55,5991.08,4151.47,0.4093
O0124,2026-09-21,C098,P111,Desk Lamp,Accessories,Dhaka,Online,1,2235.32,0.15,1900.02,1405.31,494.71,0.2604
O0125,2026-07-17,C114,P101,Shirt,Apparel,Chattogram,Online,5,806.59,0.05,3831.3,2541.1,1290.2,0.3368
O0126,2025-08-25,C105,P104,Keyboard,Electronics,Khulna,Online,5,2212.22,0.05,10508.04,7228.62,3279.42,0.3121
O0127,2025-10-12,C086,P110,Pen Set,Stationery,Khulna,Online,2,334.74,0.15,569.06,423.66,145.4,0.2555
O0128,2025-05-09,C031,P111,Desk Lamp,Accessories,Rajshahi,Partner,6,2274.33,0,13645.98,8682.73,4963.25,0.3637
O0129,2026-06-29,C110,P111,Desk Lamp,Accessories,Dhaka,Online,4,2211.44,0,8845.76,6233.77,2611.99,0.2953
O0130,2025-05-21,C075,P106,Headset,Electronics,Rajshahi,Online,3,3000.78,0.05,8552.22,6359.41,2192.81,0.2564
O0131,2026-12-05,C117,P112,Webcam,Electronics,Dhaka,Partner,1,4480.2,0.15,3808.17,2495.53,1312.64,0.3447
O0132,2026-12-05,C010,P103,Trousers,Apparel,Rajshahi,Online,7,1503.07,0.05,9995.42,6389.97,3605.45,0.3607
O0133,2025-12-11,C035,P103,Trousers,Apparel,Rajshahi,Partner,4,1464.65,0,5858.6,4155.72,1702.88,0.2907
O0134,2026-10-16,C075,P104,Keyboard,Electronics,Dhaka,Retail,3,2291.42,0.05,6530.55,4027.91,2502.64,0.3832
O0135,2025-07-02,C098,P109,Notebook,Stationery,Chattogram,Partner,1,184.37,0,184.37,116.07,68.3,0.3705
O0136,2025-04-20,C109,P111,Desk Lamp,Accessories,Rajshahi,Online,4,2329.82,0,9319.28,5804.17,3515.11,0.3772
O0137,2025-10-24,C016,P111,Desk Lamp,Accessories,Dhaka,Online,1,2065.06,0.15,1755.3,1046.65,708.65,0.4037
O0138,2025-08-11,C018,P110,Pen Set,Stationery,Dhaka,Partner,3,346.38,0,1039.14,611.15,427.99,0.4119
O0139,2026-03-25,C024,P101,Shirt,Apparel,Rajshahi,Partner,1,765.37,0.15,650.56,436.62,213.94,0.3289
O0140,2025-01-09,C023,P112,Webcam,Electronics,Dhaka,Partner,7,4446.7,0,31126.9,22120.94,9005.96,0.2893
O0141,2026-11-05,C041,P110,Pen Set,Stationery,Chattogram,Online,5,376.63,0.05,1788.99,1203.98,585.01,0.327
O0142,2026-10-19,C049,P105,Monitor,Electronics,Chattogram,Partner,6,13814.27,0.1,74597.06,52017.37,22579.69,0.3027
O0143,2025-07-27,C084,P101,Shirt,Apparel,Khulna,Online,3,860.93,0.05,2453.65,1663.55,790.1,0.322
O0144,2025-10-25,C035,P102,Polo Shirt,Apparel,Chattogram,Partner,7,1186.24,0.1,7473.31,4655.05,2818.26,0.3771
O0145,2025-09-28,C064,P109,Notebook,Stationery,Rajshahi,Retail,3,185.1,0.15,472.0,290.41,181.59,0.3847
O0146,2026-02-01,C111,P111,Desk Lamp,Accessories,Khulna,Online,5,2331.31,0.05,11073.72,7670.17,3403.55,0.3074
O0147,2026-02-17,C111,P110,Pen Set,Stationery,Dhaka,Online,3,361.4,0,1084.2,723.21,360.99,0.333
O0148,2025-04-12,C029,P107,Backpack,Accessories,Chattogram,Online,5,1937.52,0.15,8234.46,5292.58,2941.88,0.3573
O0149,2026-03-16,C047,P106,Headset,Electronics,Rajshahi,Online,5,3380.33,0.05,16056.57,10379.52,5677.05,0.3536
O0150,2026-06-22,C012,P102,Polo Shirt,Apparel,Rajshahi,Partner,2,1167.9,0,2335.8,1427.76,908.04,0.3887
O0151,2025-10-30,C049,P107,Backpack,Accessories,Khulna,Online,1,1688.9,0.05,1604.45,972.57,631.88,0.3938
O0152,2026-10-23,C042,P109,Notebook,Stationery,Chattogram,Retail,5,190.09,0,950.45,657.99,292.46,0.3077
O0153,2026-03-16,C012,P110,Pen Set,Stationery,Rajshahi,Partner,7,359.68,0,2517.76,1771.42,746.34,0.2964
O0154,2025-05-22,C066,P108,Laptop Stand,Accessories,Rajshahi,Retail,3,1570.94,0,4712.82,3519.98,1192.84,0.2531
O0155,2025-04-11,C068,P104,Keyboard,Electronics,Khulna,Online,3,2101.46,0.15,5358.72,3356.91,2001.81,0.3736
O0156,2025-02-28,C105,P104,Keyboard,Electronics,Chattogram,Retail,1,2214.57,0,2214.57,1652.76,561.81,0.2537
O0157,2025-08-11,C023,P103,Trousers,Apparel,Rajshahi,Partner,1,1476.51,0,1476.51,1061.67,414.84,0.281
O0158,2026-10-10,C064,P102,Polo Shirt,Apparel,Chattogram,Online,2,1173.07,0.1,2111.53,1575.26,536.27,0.254
O0159,2026-01-26,C070,P105,Monitor,Electronics,Dhaka,Partner,1,14486.27,0,14486.27,8980.78,5505.49,0.38
O0160,2026-04-13,C027,P108,Laptop Stand,Accessories,Chattogram,Online,7,1664.99,0.15,9906.69,6739.78,3166.91,0.3197
O0161,2026-03-15,C013,P109,Notebook,Stationery,Rajshahi,Retail,7,172.46,0.15,1026.14,632.58,393.56,0.3835
O0162,2025-02-23,C006,P103,Trousers,Apparel,Rajshahi,Retail,2,1475.89,0.1,2656.6,1590.68,1065.92,0.4012
O0163,2025-09-14,C101,P107,Backpack,Accessories,Chattogram,Retail,5,1892.69,0.1,8517.11,5840.16,2676.95,0.3143
O0164,2026-08-08,C058,P101,Shirt,Apparel,Rajshahi,Retail,2,771.08,0,1542.16,937.82,604.34,0.3919
O0165,2025-05-23,C018,P105,Monitor,Electronics,Khulna,Retail,5,13853.14,0,69265.7,44402.22,24863.48,0.359
O0166,2026-06-02,C114,P111,Desk Lamp,Accessories,Dhaka,Retail,4,2308.01,0.05,8770.44,5467.79,3302.65,0.3766
O0167,2026-05-12,C057,P110,Pen Set,Stationery,Dhaka,Online,7,369.28,0.1,2326.46,1675.26,651.2,0.2799
O0168,2025-03-18,C048,P103,Trousers,Apparel,Khulna,Online,1,1499.32,0,1499.32,1101.18,398.14,0.2655
O0169,2025-03-01,C010,P109,Notebook,Stationery,Rajshahi,Retail,1,186.44,0.05,177.12,110.42,66.7,0.3766
O0170,2026-04-17,C022,P111,Desk Lamp,Accessories,Khulna,Retail,5,2096.94,0.1,9436.23,5775.46,3660.77,0.3879
O0171,2025-04-27,C083,P101,Shirt,Apparel,Dhaka,Retail,5,791.43,0.1,3561.43,2512.8,1048.63,0.2944
O0172,2026-02-18,C027,P104,Keyboard,Electronics,Dhaka,Retail,7,2358.51,0.1,14858.61,11150.67,3707.94,0.2495
O0173,2026-04-15,C054,P104,Keyboard,Electronics,Dhaka,Online,4,2301.44,0,9205.76,6355.72,2850.04,0.3096
O0174,2025-06-18,C097,P107,Backpack,Accessories,Rajshahi,Online,2,1940.88,0,3881.76,2612.97,1268.79,0.3269
O0175,2026-07-15,C055,P110,Pen Set,Stationery,Chattogram,Partner,5,352.99,0.15,1500.21,916.98,583.23,0.3888
O0176,2026-05-21,C052,P111,Desk Lamp,Accessories,Dhaka,Online,7,2366.71,0.05,15738.62,10240.24,5498.38,0.3494
O0177,2025-03-08,C107,P108,Laptop Stand,Accessories,Chattogram,Online,5,1710.75,0,8553.75,6391.87,2161.88,0.2527
O0178,2025-04-22,C084,P107,Backpack,Accessories,Khulna,Online,6,1881.49,0,11288.94,7406.93,3882.01,0.3439
O0179,2025-12-26,C054,P110,Pen Set,Stationery,Chattogram,Partner,4,359.32,0.1,1293.55,976.12,317.43,0.2454
O0180,2025-06-21,C113,P106,Headset,Electronics,Chattogram,Retail,3,3146.54,0.05,8967.64,5479.67,3487.97,0.389
O0181,2026-12-09,C049,P104,Keyboard,Electronics,Chattogram,Retail,4,2229.4,0,8917.6,5973.19,2944.41,0.3302
O0182,2026-12-08,C034,P104,Keyboard,Electronics,Rajshahi,Retail,4,2237.51,0.1,8055.04,4995.37,3059.67,0.3798
O0183,2026-09-16,C119,P109,Notebook,Stationery,Khulna,Online,5,190.77,0,953.85,711.27,242.58,0.2543
O0184,2026-01-28,C067,P112,Webcam,Electronics,Rajshahi,Online,7,4351.15,0.1,27412.24,18400.16,9012.08,0.3288
O0185,2026-12-27,C087,P104,Keyboard,Electronics,Rajshahi,Partner,1,2326.11,0.05,2209.8,1400.12,809.68,0.3664
O0186,2026-01-20,C113,P108,Laptop Stand,Accessories,Chattogram,Retail,7,1586.21,0,11103.47,8339.04,2764.43,0.249
O0187,2026-06-24,C003,P112,Webcam,Electronics,Chattogram,Partner,7,4101.71,0.1,25840.77,16760.22,9080.55,0.3514
O0188,2026-02-12,C015,P105,Monitor,Electronics,Chattogram,Online,5,15636.81,0,78184.05,52380.36,25803.69,0.33
O0189,2026-12-10,C099,P111,Desk Lamp,Accessories,Khulna,Online,2,2332.05,0.05,4430.9,2679.47,1751.43,0.3953
O0190,2025-01-11,C028,P110,Pen Set,Stationery,Rajshahi,Partner,7,327.9,0,2295.3,1399.71,895.59,0.3902
O0191,2026-10-28,C061,P109,Notebook,Stationery,Khulna,Online,1,174.6,0,174.6,118.65,55.95,0.3204
O0192,2025-12-05,C003,P107,Backpack,Accessories,Chattogram,Online,1,1695.63,0.15,1441.29,1046.89,394.4,0.2736
O0193,2026-03-13,C052,P110,Pen Set,Stationery,Khulna,Retail,3,348.3,0.05,992.66,664.39,328.27,0.3307
O0194,2026-06-20,C106,P112,Webcam,Electronics,Khulna,Partner,7,3915.52,0,27408.64,20511.22,6897.42,0.2517
O0195,2025-12-05,C015,P102,Polo Shirt,Apparel,Rajshahi,Online,6,1054.09,0.15,5375.86,4062.06,1313.8,0.2444
O0196,2026-07-14,C032,P111,Desk Lamp,Accessories,Chattogram,Online,2,2064.15,0.1,3715.47,2310.58,1404.89,0.3781
O0197,2026-02-03,C021,P109,Notebook,Stationery,Dhaka,Partner,2,188.81,0.1,339.86,251.04,88.82,0.2613
O0198,2025-03-15,C044,P101,Shirt,Apparel,Khulna,Online,1,831.32,0.15,706.62,523.42,183.2,0.2593
O0199,2026-06-24,C037,P107,Backpack,Accessories,Dhaka,Partner,1,1754.65,0.15,1491.45,912.46,578.99,0.3882
O0200,2025-12-01,C003,P112,Webcam,Electronics,Khulna,Retail,4,3931.88,0,15727.52,10361.67,5365.85,0.3412
O0201,2026-05-16,C016,P105,Monitor,Electronics,Chattogram,Retail,3,14026.77,0,42080.31,25194.39,16885.92,0.4013
O0202,2025-01-09,C035,P101,Shirt,Apparel,Rajshahi,Online,6,821.47,0.15,4189.5,2544.28,1645.22,0.3927
O0203,2025-10-10,C046,P108,Laptop Stand,Accessories,Khulna,Retail,5,1645.47,0.1,7404.62,4668.74,2735.88,0.3695
O0204,2026-07-15,C102,P105,Monitor,Electronics,Rajshahi,Partner,4,14052.77,0.15,47779.42,34832.45,12946.97,0.271
O0205,2025-06-01,C060,P101,Shirt,Apparel,Chattogram,Partner,2,788.85,0.15,1341.05,904.86,436.19,0.3253
O0206,2026-05-10,C105,P102,Polo Shirt,Apparel,Dhaka,Online,1,1124.44,0.05,1068.22,717.56,350.66,0.3283
O0207,2025-10-20,C065,P109,Notebook,Stationery,Chattogram,Partner,7,169.93,0.15,1011.08,600.25,410.83,0.4063
O0208,2026-01-16,C077,P108,Laptop Stand,Accessories,Khulna,Online,2,1679.92,0.05,3191.85,2412.41,779.44,0.2442
