SalesLineKey,OrderID,OrderDate,ShipDate,CustomerKey,ProductKey,RegionKey,Channel,Quantity,UnitPrice,DiscountPct,Revenue,Cost,GrossProfit
L0040,O0020,2025-07-25,2025-07-27,C018,P106,R03,Retail,7,166.43,0,1165.01,770.0,395.01
L0041,O0021,2026-08-17,2026-08-24,C025,P106,R04,Partner,3,177.99,0.1,480.57,330.0,150.57
L0042,O0021,2025-09-06,2025-09-11,C047,P107,R02,Partner,6,40.81,0,244.86,144.0,100.86
L0043,O0022,2025-11-27,2025-11-30,C046,P105,R03,Retail,3,29.84,0,89.52,45.0,44.52
L0044,O0022,2026-04-25,2026-04-28,C045,P108,R04,Online,3,4.16,0,12.48,6.0,6.48
L0045,O0023,2026-05-18,2026-05-22,C024,P110,R01,Partner,7,38.02,0,266.14,133.0,133.14
L0046,O0023,2025-03-18,2025-03-23,C058,P104,R03,Online,5,25.28,0,126.4,60.0,66.4
L0047,O0024,2026-08-31,2026-09-06,C056,P109,R01,Retail,5,7.41,0,37.05,17.5,19.55
L0048,O0024,2026-06-25,2026-06-26,C049,P104,R04,Online,5,23.8,0,119.0,60.0,59.0
L0049,O0025,2025-11-20,2025-11-27,C033,P107,R04,Retail,2,43.27,0,86.54,48.0,38.54
L0050,O0025,2026-02-07,2026-02-14,C009,P107,R04,Retail,7,39.65,0.15,235.92,168.0,67.92
L0051,O0026,2026-05-19,2026-05-21,C004,P107,R01,Online,2,40.41,0,80.82,48.0,32.82
L0052,O0026,2025-07-26,2025-07-29,C059,P103,R02,Retail,7,38.7,0.1,243.81,154.0,89.81
L0053,O0027,2025-07-29,2025-08-02,C059,P105,R02,Online,7,30.31,0.1,190.95,105.0,85.95
L0054,O0027,2026-12-29,2027-01-03,C060,P107,R01,Retail,4,44.77,0.05,170.13,96.0,74.13
L0055,O0028,2026-08-25,2026-08-28,C049,P105,R04,Retail,5,26.49,0.15,112.58,75.0,37.58
L0056,O0028,2025-01-02,2025-01-03,C026,P103,R03,Partner,3,41.59,0,124.77,66.0,58.77
L0057,O0029,2026-09-28,2026-09-30,C060,P110,R01,Online,3,36.11,0.1,97.5,57.0,40.5
L0058,O0029,2025-02-21,2025-02-27,C012,P108,R01,Partner,5,4.29,0,21.45,10.0,11.45
L0059,O0030,2026-03-01,2026-03-08,C019,P109,R02,Retail,7,7.11,0,49.77,24.5,25.27
L0060,O0030,2026-10-01,2026-10-07,C010,P105,R03,Partner,6,28.17,0,169.02,90.0,79.02
L0061,O0031,2026-05-11,2026-05-15,C057,P105,R04,Retail,6,27.84,0.1,150.34,90.0,60.34
L0062,O0031,2025-04-28,2025-04-29,C057,P104,R04,Partner,7,23.58,0.15,140.3,84.0,56.3
L0063,O0032,2026-11-15,2026-11-21,C008,P103,R01,Online,4,38.65,0,154.6,88.0,66.6
L0064,O0032,2026-11-24,2026-11-25,C017,P104,R04,Retail,3,24.54,0,73.62,36.0,37.62
L0065,O0033,2026-08-31,2026-09-05,C032,P101,R01,Online,7,22.23,0.1,140.05,98.0,42.05
L0066,O0033,2026-01-09,2026-01-15,C037,P101,R04,Online,2,24.9,0.05,47.31,28.0,19.31
L0067,O0034,2025-08-01,2025-08-08,C028,P109,R01,Retail,6,6.9,0.15,35.19,21.0,14.19
L0068,O0034,2026-10-18,2026-10-21,C053,P104,R04,Online,6,25.03,0.15,127.65,72.0,55.65
L0069,O0035,2025-12-09,2025-12-11,C014,P112,R03,Partner,4,27.63,0.05,104.99,64.0,40.99
L0070,O0035,2025-08-31,2025-09-07,C041,P112,R04,Partner,1,30.1,0,30.1,16.0,14.1
L0071,O0036,2025-08-23,2025-08-30,C039,P109,R02,Retail,3,6.73,0,20.19,10.5,9.69
L0072,O0036,2025-02-06,2025-02-09,C010,P106,R03,Retail,2,179.56,0,359.12,220.0,139.12
L0073,O0037,2025-05-29,2025-06-04,C051,P105,R02,Retail,7,29.0,0,203.0,105.0,98.0
L0074,O0037,2025-01-21,2025-01-24,C009,P106,R04,Retail,3,183.41,0.05,522.72,330.0,192.72
L0075,O0038,2025-11-26,2025-11-28,C022,P105,R03,Partner,5,26.33,0.1,118.48,75.0,43.48
L0076,O0038,2025-08-23,2025-08-27,C022,P104,R03,Online,5,23.86,0.15,101.41,60.0,41.41
L0077,O0039,2025-04-06,2025-04-13,C004,P102,R01,Partner,4,31.03,0.15,105.5,72.0,33.5
L0078,O0039,2026-03-31,2026-04-01,C031,P102,R02,Online,7,31.94,0.05,212.4,126.0,86.4
L0079,O0040,2025-07-12,2025-07-16,C009,P111,R04,Online,1,55.79,0,55.79,31.0,24.79
L0080,O0040,2025-07-09,2025-07-10,C040,P104,R01,Partner,3,22.58,0.15,57.58,36.0,21.58
L0081,O0041,2025-06-08,2025-06-10,C002,P103,R03,Retail,5,42.82,0.1,192.69,110.0,82.69
L0082,O0041,2026-10-24,2026-10-29,C009,P112,R04,Online,1,29.61,0,29.61,16.0,13.61
L0083,O0042,2026-07-05,2026-07-11,C017,P108,R04,Online,1,4.08,0,4.08,2.0,2.08
L0084,O0042,2025-02-04,2025-02-09,C017,P104,R04,Online,1,25.17,0.1,22.65,12.0,10.65
L0085,O0043,2025-07-21,2025-07-27,C041,P106,R04,Retail,7,165.42,0,1157.94,770.0,387.94
L0086,O0043,2025-03-21,2025-03-23,C029,P107,R04,Online,3,45.98,0.05,131.04,72.0,59.04
L0087,O0044,2025-06-01,2025-06-06,C050,P111,R03,Partner,3,56.06,0.1,151.36,93.0,58.36
L0088,O0044,2025-11-14,2025-11-16,C016,P106,R01,Partner,4,164.79,0.15,560.29,440.0,120.29
L0089,O0045,2026-02-05,2026-02-08,C033,P110,R04,Partner,7,33.46,0,234.22,133.0,101.22
L0090,O0045,2025-10-23,2025-10-29,C041,P112,R04,Online,3,30.54,0,91.62,48.0,43.62
L0091,O0046,2026-04-29,2026-05-04,C032,P103,R01,Partner,2,38.51,0.05,73.17,44.0,29.17
L0092,O0046,2025-10-28,2025-11-01,C054,P112,R03,Online,5,31.17,0,155.85,80.0,75.85
L0093,O0047,2026-12-26,2027-01-02,C013,P103,R04,Retail,3,38.01,0,114.03,66.0,48.03
L0094,O0047,2026-08-16,2026-08-17,C056,P112,R01,Retail,4,30.45,0.05,115.71,64.0,51.71
L0095,O0048,2026-06-17,2026-06-20,C026,P107,R03,Online,5,45.48,0.1,204.66,120.0,84.66
L0096,O0048,2025-06-07,2025-06-12,C032,P102,R01,Retail,6,34.01,0,204.06,108.0,96.06
L0097,O0049,2025-06-12,2025-06-15,C004,P102,R01,Online,4,31.19,0,124.76,72.0,52.76
L0098,O0049,2026-09-22,2026-09-26,C019,P105,R02,Retail,5,30.36,0.15,129.03,75.0,54.03
L0099,O0050,2025-06-20,2025-06-27,C003,P101,R02,Retail,4,22.82,0.1,82.15,56.0,26.15
L0100,O0050,2026-12-25,2026-12-26,C011,P102,R02,Online,2,30.1,0,60.2,36.0,24.2
L0101,O0051,2026-09-07,2026-09-13,C060,P109,R01,Online,6,7.3,0,43.8,21.0,22.8
L0102,O0051,2026-09-25,2026-09-27,C028,P101,R01,Partner,1,24.36,0.15,20.71,14.0,6.71
L0103,O0052,2025-04-19,2025-04-26,C056,P109,R01,Retail,6,7.36,0.15,37.54,21.0,16.54
L0104,O0052,2026-04-03,2026-04-09,C045,P107,R04,Partner,2,46.14,0,92.28,48.0,44.28
L0105,O0053,2026-10-20,2026-10-21,C053,P110,R04,Partner,7,33.29,0.1,209.73,133.0,76.73
L0106,O0053,2026-06-08,2026-06-09,C047,P105,R02,Partner,3,26.53,0.1,71.63,45.0,26.63
L0107,O0054,2025-03-09,2025-03-10,C043,P112,R02,Online,5,31.6,0.1,142.2,80.0,62.2
L0108,O0054,2025-05-05,2025-05-06,C036,P105,R01,Retail,6,26.38,0,158.28,90.0,68.28
L0109,O0055,2026-10-07,2026-10-10,C013,P109,R04,Online,6,7.0,0.05,39.9,21.0,18.9
L0110,O0055,2025-06-26,2025-07-02,C015,P105,R02,Online,2,25.97,0,51.94,30.0,21.94
L0111,O0056,2025-08-06,2025-08-12,C023,P103,R02,Partner,1,40.2,0.05,38.19,22.0,16.19
L0112,O0056,2026-12-21,2026-12-25,C054,P111,R03,Retail,4,57.27,0.05,217.63,124.0,93.63
L0113,O0057,2025-05-27,2025-05-30,C021,P112,R04,Retail,6,32.17,0.15,164.07,96.0,68.07
L0114,O0057,2025-08-09,2025-08-12,C045,P110,R04,Partner,4,34.03,0.1,122.51,76.0,46.51
L0115,O0058,2025-10-13,2025-10-18,C044,P112,R01,Online,3,30.93,0.15,78.87,48.0,30.87
L0116,O0058,2026-08-08,2026-08-12,C034,P102,R03,Retail,7,33.71,0.15,200.57,126.0,74.57
L0117,O0059,2025-08-13,2025-08-17,C012,P104,R01,Retail,1,23.13,0,23.13,12.0,11.13
L0118,O0059,2026-11-12,2026-11-16,C032,P101,R01,Retail,3,22.55,0,67.65,42.0,25.65
L0119,O0060,2026-05-02,2026-05-03,C010,P111,R03,Online,6,53.53,0.15,273.0,186.0,87.0
L0120,O0060,2025-04-29,2025-05-03,C020,P107,R01,Retail,2,42.77,0,85.54,48.0,37.54
L0121,O0061,2026-01-29,2026-01-30,C019,P105,R02,Retail,5,28.85,0.05,137.04,75.0,62.04
L0122,O0061,2025-11-23,2025-11-28,C009,P103,R04,Online,5,41.26,0,206.3,110.0,96.3
L0123,O0062,2026-07-17,2026-07-20,C022,P103,R03,Online,4,40.89,0.1,147.2,88.0,59.2
L0124,O0062,2026-01-02,2026-01-05,C009,P101,R04,Partner,3,24.91,0.1,67.26,42.0,25.26
L0125,O0063,2026-12-18,2026-12-24,C036,P103,R01,Retail,3,42.23,0.15,107.69,66.0,41.69
L0126,O0063,2026-04-04,2026-04-08,C022,P105,R03,Retail,3,30.34,0,91.02,45.0,46.02
L0127,O0064,2025-07-27,2025-08-01,C028,P109,R01,Online,4,7.52,0,30.08,14.0,16.08
L0128,O0064,2026-04-10,2026-04-11,C031,P111,R02,Retail,1,59.09,0.15,50.23,31.0,19.23
L0129,O0065,2026-08-15,2026-08-20,C033,P108,R04,Retail,1,4.08,0.15,3.47,2.0,1.47
L0130,O0065,2026-01-11,2026-01-14,C005,P112,R04,Partner,4,32.24,0,128.96,64.0,64.96
L0131,O0066,2025-05-06,2025-05-13,C007,P103,R02,Retail,1,36.99,0.1,33.29,22.0,11.29
L0132,O0066,2026-04-27,2026-05-03,C024,P111,R01,Retail,2,54.64,0,109.28,62.0,47.28
L0133,O0067,2026-08-17,2026-08-18,C051,P109,R02,Retail,1,6.94,0,6.94,3.5,3.44
L0134,O0067,2025-10-05,2025-10-12,C017,P111,R04,Online,4,54.57,0,218.28,124.0,94.28
L0135,O0068,2025-07-04,2025-07-11,C018,P109,R03,Partner,3,7.49,0.05,21.35,10.5,10.85
L0136,O0068,2026-04-19,2026-04-23,C030,P110,R03,Retail,1,37.96,0,37.96,19.0,18.96
L0137,O0069,2026-07-02,2026-07-03,C002,P105,R03,Online,3,26.95,0.15,68.72,45.0,23.72
L0138,O0069,2026-02-22,2026-03-01,C009,P110,R04,Online,7,35.19,0,246.33,133.0,113.33
L0139,O0070,2025-02-03,2025-02-04,C055,P107,R02,Retail,1,45.93,0.1,41.34,24.0,17.34
L0140,O0070,2026-06-25,2026-06-27,C049,P105,R04,Online,2,28.47,0.15,48.4,30.0,18.4
L0141,O0071,2025-07-11,2025-07-17,C023,P104,R02,Online,3,21.2,0,63.6,36.0,27.6
L0142,O0071,2026-02-20,2026-02-25,C044,P110,R01,Retail,5,33.88,0.1,152.46,95.0,57.46
L0143,O0072,2025-12-09,2025-12-15,C051,P101,R02,Partner,4,25.82,0,103.28,56.0,47.28
L0144,O0072,2026-07-01,2026-07-04,C013,P103,R04,Retail,5,40.81,0,204.05,110.0,94.05
L0145,O0073,2025-03-20,2025-03-24,C052,P109,R01,Online,6,6.86,0.05,39.1,21.0,18.1
L0146,O0073,2025-11-30,2025-12-05,C017,P108,R04,Online,4,3.76,0.1,13.54,8.0,5.54
L0147,O0074,2025-02-01,2025-02-06,C032,P111,R01,Retail,4,56.21,0.05,213.6,124.0,89.6
L0148,O0074,2026-06-01,2026-06-04,C034,P106,R03,Retail,3,180.99,0,542.97,330.0,212.97
L0149,O0075,2025-04-07,2025-04-09,C046,P112,R03,Online,7,30.08,0.15,178.98,112.0,66.98
L0150,O0075,2026-03-20,2026-03-21,C002,P104,R03,Online,2,23.26,0,46.52,24.0,22.52
L0151,O0076,2026-03-26,2026-03-28,C055,P106,R02,Online,6,168.69,0.15,860.32,660.0,200.32
L0152,O0076,2026-10-18,2026-10-21,C036,P112,R01,Online,3,31.86,0.15,81.24,48.0,33.24
L0153,O0077,2025-11-25,2025-11-26,C011,P109,R02,Partner,1,7.41,0.15,6.3,3.5,2.8
L0154,O0077,2025-10-25,2025-10-31,C026,P112,R03,Online,2,28.04,0.05,53.28,32.0,21.28
L0155,O0078,2025-10-01,2025-10-02,C036,P102,R01,Retail,5,33.66,0,168.3,90.0,78.3
L0156,O0078,2025-11-12,2025-11-13,C007,P112,R02,Retail,1,31.32,0.1,28.19,16.0,12.19
L0157,O0079,2025-11-12,2025-11-13,C029,P109,R04,Online,1,6.76,0.15,5.75,3.5,2.25
L0158,O0079,2025-03-06,2025-03-08,C030,P103,R03,Online,5,38.11,0,190.55,110.0,80.55
L0159,O0080,2025-01-23,2025-01-28,C043,P103,R02,Online,4,40.66,0.15,138.24,88.0,50.24
L0160,O0080,2026-10-02,2026-10-06,C039,P110,R02,Partner,7,35.48,0.05,235.94,133.0,102.94
L0161,O0081,2025-08-13,2025-08-17,C058,P103,R03,Online,1,37.65,0,37.65,22.0,15.65
L0162,O0081,2025-10-17,2025-10-22,C047,P109,R02,Online,5,7.24,0,36.2,17.5,18.7
L0163,O0082,2026-01-10,2026-01-12,C060,P106,R01,Retail,7,175.15,0,1226.05,770.0,456.05
L0164,O0082,2026-11-03,2026-11-09,C028,P106,R01,Online,3,177.12,0.05,504.79,330.0,174.79
L0165,O0083,2025-01-07,2025-01-11,C030,P105,R03,Retail,7,29.46,0,206.22,105.0,101.22
L0166,O0083,2025-08-27,2025-09-02,C046,P106,R03,Online,1,184.68,0.05,175.45,110.0,65.45
L0167,O0084,2025-08-07,2025-08-12,C006,P111,R03,Online,4,58.97,0.05,224.09,124.0,100.09
L0168,O0084,2025-09-19,2025-09-20,C060,P111,R01,Retail,4,58.19,0.05,221.12,124.0,97.12
L0169,O0085,2025-07-29,2025-08-04,C048,P103,R01,Partner,1,42.78,0.05,40.64,22.0,18.64
L0170,O0085,2025-02-16,2025-02-17,C038,P101,R03,Retail,5,23.65,0.05,112.34,70.0,42.34
L0171,O0086,2025-11-26,2025-11-27,C043,P111,R02,Retail,4,52.45,0.05,199.31,124.0,75.31
L0172,O0086,2025-04-19,2025-04-20,C016,P103,R01,Partner,6,39.62,0,237.72,132.0,105.72
L0173,O0087,2025-11-04,2025-11-05,C053,P110,R04,Retail,7,36.24,0.1,228.31,133.0,95.31
L0174,O0087,2026-06-09,2026-06-12,C056,P104,R01,Retail,3,24.61,0.1,66.45,36.0,30.45
L0175,O0088,2026-06-25,2026-06-27,C008,P111,R01,Partner,6,58.98,0.1,318.49,186.0,132.49
L0176,O0088,2025-04-05,2025-04-06,C050,P102,R03,Retail,4,33.48,0,133.92,72.0,61.92
L0177,O0089,2025-09-06,2025-09-10,C056,P102,R01,Partner,3,29.03,0,87.09,54.0,33.09
L0178,O0089,2026-01-29,2026-01-30,C044,P108,R01,Online,3,3.78,0.15,9.64,6.0,3.64
L0179,O0090,2025-12-26,2025-12-28,C012,P101,R01,Retail,3,25.22,0,75.66,42.0,33.66
L0180,O0090,2026-09-11,2026-09-16,C040,P103,R01,Partner,3,36.25,0.1,97.88,66.0,31.88
L0181,O0091,2026-02-09,2026-02-13,C021,P101,R04,Partner,6,25.45,0,152.7,84.0,68.7
L0182,O0091,2025-05-28,2025-05-30,C024,P103,R01,Online,6,37.72,0.1,203.69,132.0,71.69
L0183,O0092,2025-04-23,2025-04-24,C047,P107,R02,Retail,4,45.78,0,183.12,96.0,87.12
L0184,O0092,2026-06-30,2026-07-01,C007,P110,R02,Online,1,35.21,0.05,33.45,19.0,14.45
L0185,O0093,2025-05-12,2025-05-19,C033,P101,R04,Retail,1,22.16,0,22.16,14.0,8.16
L0186,O0093,2025-02-05,2025-02-07,C032,P112,R01,Online,3,31.13,0.05,88.72,48.0,40.72
L0187,O0094,2025-05-19,2025-05-21,C028,P101,R01,Online,1,26.11,0.15,22.19,14.0,8.19
L0188,O0094,2025-02-09,2025-02-10,C038,P105,R03,Partner,5,26.17,0.15,111.22,75.0,36.22
L0189,O0095,2026-08-07,2026-08-11,C047,P103,R02,Retail,1,38.43,0,38.43,22.0,16.43
L0190,O0095,2025-01-03,2025-01-07,C051,P109,R02,Retail,2,7.24,0.15,12.31,7.0,5.31
L0191,O0096,2025-03-24,2025-03-25,C009,P110,R04,Retail,5,37.75,0,188.75,95.0,93.75
L0192,O0096,2025-09-25,2025-09-27,C043,P103,R02,Online,7,41.33,0.1,260.38,154.0,106.38
L0193,O0097,2026-05-02,2026-05-06,C049,P109,R04,Online,6,7.56,0.05,43.09,21.0,22.09
L0194,O0097,2026-10-13,2026-10-20,C016,P111,R01,Retail,1,53.87,0.15,45.79,31.0,14.79
L0195,O0098,2026-06-20,2026-06-23,C005,P110,R04,Online,1,32.45,0,32.45,19.0,13.45
L0196,O0098,2025-12-22,2025-12-26,C005,P103,R04,Retail,2,37.03,0,74.06,44.0,30.06
L0197,O0099,2026-06-24,2026-06-29,C056,P103,R01,Online,3,39.73,0.05,113.23,66.0,47.23
L0198,O0099,2025-05-21,2025-05-27,C030,P101,R03,Retail,6,25.73,0,154.38,84.0,70.38
L0199,O0100,2026-11-19,2026-11-26,C055,P110,R02,Online,1,32.37,0.05,30.75,19.0,11.75
L0200,O0100,2026-11-05,2026-11-11,C033,P105,R04,Online,6,30.43,0.15,155.19,90.0,65.19
L0201,O0101,2026-03-02,2026-03-08,C028,P110,R01,Partner,6,34.82,0,208.92,114.0,94.92
L0202,O0101,2026-11-22,2026-11-23,C005,P108,R04,Partner,6,3.93,0.1,21.22,12.0,9.22
L0203,O0102,2025-02-09,2025-02-15,C060,P102,R01,Partner,7,31.05,0,217.35,126.0,91.35
L0204,O0102,2025-09-22,2025-09-26,C012,P102,R01,Retail,5,28.79,0.1,129.56,90.0,39.56
L0205,O0103,2026-02-11,2026-02-15,C049,P102,R04,Partner,5,33.48,0.05,159.03,90.0,69.03
L0206,O0103,2026-03-13,2026-03-16,C033,P107,R04,Retail,3,43.17,0.05,123.03,72.0,51.03
L0207,O0104,2026-08-03,2026-08-08,C019,P110,R02,Retail,2,36.24,0,72.48,38.0,34.48
L0208,O0104,2026-03-18,2026-03-25,C028,P108,R01,Partner,2,4.2,0.1,7.56,4.0,3.56
L0209,O0105,2026-02-19,2026-02-21,C024,P104,R01,Partner,2,25.1,0.15,42.67,24.0,18.67
L0210,O0105,2026-05-06,2026-05-08,C054,P112,R03,Retail,5,32.07,0.15,136.3,80.0,56.3
L0211,O0106,2025-09-21,2025-09-22,C058,P104,R03,Partner,1,23.67,0.05,22.49,12.0,10.49
L0212,O0106,2025-06-14,2025-06-16,C029,P105,R04,Online,6,29.5,0,177.0,90.0,87.0
L0213,O0107,2026-11-05,2026-11-06,C058,P108,R03,Retail,4,3.73,0,14.92,8.0,6.92
L0214,O0107,2025-02-02,2025-02-06,C044,P111,R01,Partner,7,53.22,0,372.54,217.0,155.54
L0215,O0108,2025-03-08,2025-03-11,C001,P111,R04,Retail,6,56.21,0.05,320.4,186.0,134.4
L0216,O0108,2025-06-06,2025-06-13,C060,P110,R01,Online,7,34.77,0,243.39,133.0,110.39
L0217,O0109,2025-02-21,2025-02-23,C041,P112,R04,Retail,4,32.4,0,129.6,64.0,65.6
L0218,O0109,2025-02-08,2025-02-14,C053,P103,R04,Online,1,36.47,0.15,31.0,22.0,9.0
L0219,O0110,2026-09-15,2026-09-21,C048,P105,R01,Retail,7,29.98,0,209.86,105.0,104.86
L0220,O0110,2025-06-15,2025-06-18,C006,P108,R03,Retail,6,4.08,0.15,20.81,12.0,8.81
L0221,O0111,2026-06-04,2026-06-05,C011,P101,R02,Retail,2,24.22,0.05,46.02,28.0,18.02
L0222,O0111,2026-05-12,2026-05-18,C050,P110,R03,Retail,7,32.23,0.05,214.33,133.0,81.33
L0223,O0112,2025-01-01,2025-01-06,C004,P101,R01,Online,5,22.62,0,113.1,70.0,43.1
L0224,O0112,2025-08-21,2025-08-23,C022,P103,R03,Partner,4,36.26,0.15,123.28,88.0,35.28
L0225,O0113,2025-03-11,2025-03-15,C021,P109,R04,Online,2,6.49,0.05,12.33,7.0,5.33
L0226,O0113,2025-12-17,2025-12-20,C040,P106,R01,Partner,7,158.11,0.15,940.75,770.0,170.75
L0227,O0114,2026-03-11,2026-03-13,C033,P111,R04,Online,6,55.66,0,333.96,186.0,147.96
L0228,O0114,2026-03-01,2026-03-04,C025,P102,R04,Partner,1,34.06,0,34.06,18.0,16.06
L0229,O0115,2026-11-08,2026-11-10,C058,P105,R03,Online,1,27.08,0,27.08,15.0,12.08
L0230,O0115,2026-01-02,2026-01-05,C011,P109,R02,Partner,3,7.14,0.15,18.21,10.5,7.71
L0231,O0116,2025-08-14,2025-08-21,C005,P112,R04,Retail,5,31.34,0.05,148.86,80.0,68.86
L0232,O0116,2026-07-04,2026-07-09,C047,P112,R02,Online,4,27.81,0.15,94.55,64.0,30.55
L0233,O0117,2025-10-21,2025-10-26,C028,P106,R01,Online,3,179.74,0.05,512.26,330.0,182.26
L0234,O0117,2025-02-11,2025-02-14,C059,P101,R02,Online,7,25.76,0.15,153.27,98.0,55.27
L0235,O0118,2025-06-20,2025-06-22,C047,P112,R02,Partner,3,30.82,0,92.46,48.0,44.46
L0236,O0118,2025-04-10,2025-04-14,C044,P108,R01,Retail,1,4.32,0,4.32,2.0,2.32
L0237,O0119,2026-04-24,2026-04-27,C017,P107,R04,Partner,3,39.26,0.1,106.0,72.0,34.0
L0238,O0119,2026-02-23,2026-02-25,C009,P102,R04,Partner,4,31.66,0,126.64,72.0,54.64
L0239,O0120,2025-05-17,2025-05-21,C011,P101,R02,Online,4,24.85,0.15,84.49,56.0,28.49
L0240,O0120,2025-10-21,2025-10-26,C022,P112,R03,Retail,5,29.52,0,147.6,80.0,67.6
L0241,O0121,2025-07-03,2025-07-09,C025,P106,R04,Partner,7,184.69,0,1292.83,770.0,522.83
L0242,O0121,2026-12-17,2026-12-22,C016,P101,R01,Retail,6,23.68,0.05,134.98,84.0,50.98
L0243,O0122,2025-09-10,2025-09-13,C005,P101,R04,Online,4,22.09,0,88.36,56.0,32.36
L0244,O0122,2026-05-27,2026-06-03,C031,P106,R02,Retail,5,173.0,0.1,778.5,550.0,228.5
L0245,O0123,2025-06-05,2025-06-10,C017,P108,R04,Partner,4,4.02,0.1,14.47,8.0,6.47
L0246,O0123,2026-07-28,2026-07-30,C013,P105,R04,Online,4,26.25,0.05,99.75,60.0,39.75
L0247,O0124,2025-03-11,2025-03-14,C031,P112,R02,Partner,1,27.65,0.15,23.5,16.0,7.5
