month,department,account,budget,actual,variance,approval_status
2025-06,Sales,Salaries,167056.9,125732.58,-41324.32,Approved
2025-06,Sales,Rent,288293.61,287785.38,-508.23,Approved
2025-06,Sales,Travel,170061.68,213589.47,43527.79,Approved
2025-06,Sales,IT Services,239875.35,235067.59,-4807.76,Approved
2025-06,Sales,Training,290757.35,263879.45,-26877.9,Additional Approval
2025-06,Sales,Marketing,120129.49,96931.44,-23198.05,Additional Approval
2025-06,Sales,Professional Fees,59234.88,50258.51,-8976.37,Additional Approval
2025-06,Sales,Utilities,62906.89,75369.39,12462.5,Additional Approval
2025-06,Finance,Salaries,133871.43,143188.97,9317.54,Approved
2025-06,Finance,Rent,180572.85,191021.69,10448.84,Approved
2025-06,Finance,Travel,141160.08,141920.8,760.72,Additional Approval
2025-06,Finance,IT Services,193351.15,167487.02,-25864.13,Additional Approval
2025-06,Finance,Training,193514.43,159660.67,-33853.76,Approved
2025-06,Finance,Marketing,265104.06,273615.0,8510.94,Additional Approval
2025-06,Finance,Professional Fees,258792.48,239903.71,-18888.77,Additional Approval
2025-06,Finance,Utilities,72027.78,92442.02,20414.24,Approved
2025-06,IT,Salaries,94566.21,116482.22,21916.01,Approved
2025-06,IT,Rent,68443.42,65133.29,-3310.13,Additional Approval
2025-06,IT,Travel,64712.0,60575.59,-4136.41,Approved
2025-06,IT,IT Services,62023.67,59704.72,-2318.95,Approved
2025-06,IT,Training,203681.5,251890.7,48209.2,Approved
2025-06,IT,Marketing,93801.72,105222.26,11420.54,Approved
2025-06,IT,Professional Fees,248770.29,191610.05,-57160.24,Approved
2025-06,IT,Utilities,277488.71,287350.36,9861.65,Approved
2025-07,Operations,Salaries,55825.32,64602.81,8777.49,Approved
2025-07,Operations,Rent,248740.22,316697.25,67957.03,Approved
2025-07,Operations,Travel,189377.13,231734.23,42357.1,Approved
2025-07,Operations,IT Services,255884.91,316089.86,60204.95,Additional Approval
2025-07,Operations,Training,92181.88,89274.31,-2907.57,Approved
2025-07,Operations,Marketing,96611.92,89126.1,-7485.82,Approved
2025-07,Operations,Professional Fees,290760.9,321919.72,31158.82,Additional Approval
2025-07,Operations,Utilities,172306.67,157241.79,-15064.88,Additional Approval
2025-07,Sales,Salaries,208432.7,237769.57,29336.87,Approved
2025-07,Sales,Rent,166272.02,195546.89,29274.87,Additional Approval
2025-07,Sales,Travel,210467.97,203171.59,-7296.38,Additional Approval
2025-07,Sales,IT Services,57666.97,60852.64,3185.67,Additional Approval
2025-07,Sales,Training,225989.84,264766.28,38776.44,Approved
2025-07,Sales,Marketing,198870.82,256910.57,58039.75,Approved
2025-07,Sales,Professional Fees,165870.78,159862.75,-6008.03,Approved
2025-07,Sales,Utilities,126087.39,117180.37,-8907.02,Additional Approval
2025-07,Finance,Salaries,57106.75,47057.2,-10049.55,Approved
2025-07,Finance,Rent,53775.72,64421.79,10646.07,Approved
2025-07,Finance,Travel,86728.93,89536.74,2807.81,Approved
2025-07,Finance,IT Services,67093.23,85986.12,18892.89,Approved
2025-07,Finance,Training,233642.0,194179.05,-39462.95,Approved
2025-07,Finance,Marketing,46894.78,54859.82,7965.04,Additional Approval
2025-07,Finance,Professional Fees,132548.51,156088.44,23539.93,Approved
2025-07,Finance,Utilities,273164.97,205235.11,-67929.86,Approved
2025-07,IT,Salaries,45968.96,43659.86,-2309.1,Approved
2025-07,IT,Rent,257679.21,301232.64,43553.43,Additional Approval
2025-07,IT,Travel,81633.49,73211.58,-8421.91,Approved
2025-07,IT,IT Services,209850.97,254926.25,45075.28,Additional Approval
2025-07,IT,Training,137222.35,122332.04,-14890.31,Approved
2025-07,IT,Marketing,166676.74,208035.79,41359.05,Approved
2025-07,IT,Professional Fees,113816.55,91866.32,-21950.23,Approved
2025-07,IT,Utilities,148982.35,161720.52,12738.17,Additional Approval
2025-08,Operations,Salaries,130477.86,144513.83,14035.97,Approved
2025-08,Operations,Rent,183472.03,196013.43,12541.4,Additional Approval
2025-08,Operations,Travel,247121.71,243155.99,-3965.72,Approved
2025-08,Operations,IT Services,43160.16,54766.93,11606.77,Approved
2025-08,Operations,Training,292194.11,270209.77,-21984.34,Approved
2025-08,Operations,Marketing,74637.2,96062.1,21424.9,Approved
2025-08,Operations,Professional Fees,129241.83,143385.11,14143.28,Approved
2025-08,Operations,Utilities,270626.73,342472.26,71845.53,Additional Approval
2025-08,Sales,Salaries,258140.25,293617.01,35476.76,Approved
2025-08,Sales,Rent,259719.71,297573.75,37854.04,Approved
2025-08,Sales,Travel,179858.3,174074.75,-5783.55,Approved
2025-08,Sales,IT Services,71730.44,63787.26,-7943.18,Additional Approval
2025-08,Sales,Training,219143.66,243799.16,24655.5,Approved
2025-08,Sales,Marketing,169102.7,131626.34,-37476.36,Approved
2025-08,Sales,Professional Fees,78679.42,88160.19,9480.77,Additional Approval
2025-08,Sales,Utilities,209639.51,221448.75,11809.24,Additional Approval
2025-08,Finance,Salaries,210705.76,244336.29,33630.53,Approved
2025-08,Finance,Rent,201351.72,255165.96,53814.24,Additional Approval
2025-08,Finance,Travel,40973.07,47375.93,6402.86,Approved
2025-08,Finance,IT Services,41646.04,53896.1,12250.06,Additional Approval
2025-08,Finance,Training,284799.58,308080.59,23281.01,Approved
2025-08,Finance,Marketing,287996.19,278433.14,-9563.05,Approved
2025-08,Finance,Professional Fees,85141.13,109949.68,24808.55,Approved
2025-08,Finance,Utilities,91727.09,101074.02,9346.93,Approved
2025-08,IT,Salaries,115299.68,100496.65,-14803.03,Approved
2025-08,IT,Rent,220048.85,265324.15,45275.3,Approved
2025-08,IT,Travel,41046.73,33876.45,-7170.28,Additional Approval
2025-08,IT,IT Services,65202.16,64283.35,-918.81,Approved
2025-08,IT,Training,134516.38,173868.06,39351.68,Additional Approval
2025-08,IT,Marketing,137233.96,113288.86,-23945.1,Approved
2025-08,IT,Professional Fees,123300.75,137421.72,14120.97,Additional Approval
2025-08,IT,Utilities,136334.73,107412.64,-28922.09,Additional Approval
2025-09,Operations,Salaries,229009.12,229541.98,532.86,Approved
2025-09,Operations,Rent,53934.35,59853.45,5919.1,Approved
2025-09,Operations,Travel,41508.3,47022.25,5513.95,Additional Approval
2025-09,Operations,IT Services,172906.96,159357.51,-13549.45,Additional Approval
2025-09,Operations,Training,167561.42,166022.0,-1539.42,Additional Approval
2025-09,Operations,Marketing,199244.77,150470.09,-48774.68,Approved
2025-09,Operations,Professional Fees,195966.49,238459.45,42492.96,Approved
2025-09,Operations,Utilities,76856.06,67681.85,-9174.21,Approved
2025-09,Sales,Salaries,88435.58,87089.45,-1346.13,Approved
2025-09,Sales,Rent,60423.27,63684.9,3261.63,Approved
2025-09,Sales,Travel,297331.64,277225.98,-20105.66,Approved
2025-09,Sales,IT Services,273331.39,211939.15,-61392.24,Additional Approval
2025-09,Sales,Training,292706.66,356290.23,63583.57,Approved
2025-09,Sales,Marketing,143450.62,113707.28,-29743.34,Approved
2025-09,Sales,Professional Fees,247834.92,213023.49,-34811.43,Additional Approval
2025-09,Sales,Utilities,105186.19,125907.38,20721.19,Approved
2025-09,Finance,Salaries,135260.93,143231.29,7970.36,Approved
2025-09,Finance,Rent,93229.91,85494.67,-7735.24,Additional Approval
2025-09,Finance,Travel,284311.14,274508.76,-9802.38,Additional Approval
2025-09,Finance,IT Services,193412.33,197752.8,4340.47,Approved
2025-09,Finance,Training,273393.44,260892.44,-12501.0,Additional Approval
2025-09,Finance,Marketing,266025.73,229539.94,-36485.79,Approved
2025-09,Finance,Professional Fees,283775.32,351198.09,67422.77,Additional Approval
2025-09,Finance,Utilities,173449.75,192830.54,19380.79,Approved
2025-09,IT,Salaries,200276.18,211119.5,10843.32,Approved
2025-09,IT,Rent,143801.88,175536.67,31734.79,Additional Approval
2025-09,IT,Travel,263130.35,258092.42,-5037.93,Approved
2025-09,IT,IT Services,293225.1,291028.94,-2196.16,Approved
2025-09,IT,Training,63956.27,66043.83,2087.56,Additional Approval
2025-09,IT,Marketing,60540.05,45554.04,-14986.01,Approved
2025-09,IT,Professional Fees,299130.81,363045.14,63914.33,Additional Approval
2025-09,IT,Utilities,66016.03,83747.09,17731.06,Approved
2025-10,Operations,Salaries,65311.09,73985.94,8674.85,Additional Approval
2025-10,Operations,Rent,255914.19,281589.69,25675.5,Approved
2025-10,Operations,Travel,139568.54,122220.01,-17348.53,Additional Approval
2025-10,Operations,IT Services,242318.41,198469.86,-43848.55,Approved
2025-10,Operations,Training,212398.74,161364.89,-51033.85,Additional Approval
2025-10,Operations,Marketing,292888.2,267498.98,-25389.22,Additional Approval
2025-10,Operations,Professional Fees,286771.49,273641.56,-13129.93,Approved
2025-10,Operations,Utilities,140807.65,142979.15,2171.5,Approved
2025-10,Sales,Salaries,211142.68,202642.12,-8500.56,Additional Approval
2025-10,Sales,Rent,264090.34,301484.16,37393.82,Additional Approval
2025-10,Sales,Travel,274646.36,304841.26,30194.9,Approved
2025-10,Sales,IT Services,173868.55,157067.97,-16800.58,Additional Approval
2025-10,Sales,Training,51901.91,53407.12,1505.21,Approved
2025-10,Sales,Marketing,291336.71,259389.35,-31947.36,Additional Approval
2025-10,Sales,Professional Fees,259574.51,207669.17,-51905.34,Approved
2025-10,Sales,Utilities,253431.1,314301.54,60870.44,Additional Approval
2025-10,Finance,Salaries,233181.72,246142.24,12960.52,Approved
2025-10,Finance,Rent,40501.79,32345.74,-8156.05,Approved
2025-10,Finance,Travel,94044.76,100091.58,6046.82,Approved
2025-10,Finance,IT Services,122106.69,92831.68,-29275.01,Approved
2025-10,Finance,Training,212229.54,162701.17,-49528.37,Additional Approval
2025-10,Finance,Marketing,226313.76,180085.18,-46228.58,Additional Approval
2025-10,Finance,Professional Fees,169989.08,169195.3,-793.78,Approved
2025-10,Finance,Utilities,280408.64,294571.19,14162.55,Approved
2025-10,IT,Salaries,118590.66,128711.45,10120.79,Additional Approval
2025-10,IT,Rent,108861.91,140122.12,31260.21,Approved
2025-10,IT,Travel,122510.82,103743.16,-18767.66,Approved
2025-10,IT,IT Services,144657.47,151566.98,6909.51,Approved
2025-10,IT,Training,217096.65,280849.2,63752.55,Additional Approval
2025-10,IT,Marketing,285691.28,264918.77,-20772.51,Additional Approval
2025-10,IT,Professional Fees,135210.87,128295.51,-6915.36,Approved
2025-10,IT,Utilities,238706.41,218469.82,-20236.59,Approved
2025-11,Operations,Salaries,169049.45,130473.59,-38575.86,Approved
2025-11,Operations,Rent,296062.17,269878.8,-26183.37,Additional Approval
2025-11,Operations,Travel,138482.75,118945.4,-19537.35,Approved
2025-11,Operations,IT Services,275106.96,356862.35,81755.39,Approved
2025-11,Operations,Training,252599.7,258113.03,5513.33,Additional Approval
2025-11,Operations,Marketing,215540.34,234374.97,18834.63,Additional Approval
2025-11,Operations,Professional Fees,235583.84,202778.09,-32805.75,Approved
2025-11,Operations,Utilities,281909.17,365507.57,83598.4,Approved
2025-11,Sales,Salaries,42307.95,36385.94,-5922.01,Approved
2025-11,Sales,Rent,179554.43,160358.31,-19196.12,Additional Approval
2025-11,Sales,Travel,139528.72,117971.17,-21557.55,Approved
2025-11,Sales,IT Services,242038.65,247770.69,5732.04,Approved
2025-11,Sales,Training,269498.63,253895.37,-15603.26,Approved
2025-11,Sales,Marketing,113597.06,144913.31,31316.25,Additional Approval
2025-11,Sales,Professional Fees,171745.63,166165.33,-5580.3,Approved
2025-11,Sales,Utilities,203041.2,184211.46,-18829.74,Additional Approval
2025-11,Finance,Salaries,255330.2,210354.43,-44975.77,Approved
2025-11,Finance,Rent,203207.63,253239.01,50031.38,Approved
2025-11,Finance,Travel,167107.87,197597.42,30489.55,Additional Approval
2025-11,Finance,IT Services,122820.03,133785.93,10965.9,Additional Approval
2025-11,Finance,Training,274634.24,318575.52,43941.28,Approved
2025-11,Finance,Marketing,144356.34,183520.65,39164.31,Approved
2025-11,Finance,Professional Fees,73501.5,56884.36,-16617.14,Approved
2025-11,Finance,Utilities,135765.78,142274.57,6508.79,Approved
2025-11,IT,Salaries,223672.38,196402.12,-27270.26,Additional Approval
2025-11,IT,Rent,145142.67,179833.93,34691.26,Approved
2025-11,IT,Travel,109522.17,85370.87,-24151.3,Approved
2025-11,IT,IT Services,182425.55,232796.47,50370.92,Additional Approval
2025-11,IT,Training,106308.93,129810.42,23501.49,Approved
2025-11,IT,Marketing,160189.86,121669.84,-38520.02,Approved
2025-11,IT,Professional Fees,73307.52,79200.2,5892.68,Additional Approval
2025-11,IT,Utilities,128375.82,138865.76,10489.94,Additional Approval
2025-12,Operations,Salaries,147274.53,142784.02,-4490.51,Approved
2025-12,Operations,Rent,236675.92,213482.4,-23193.52,Approved
2025-12,Operations,Travel,171303.24,140647.62,-30655.62,Additional Approval
2025-12,Operations,IT Services,183302.29,199488.61,16186.32,Approved
2025-12,Operations,Training,109901.4,134702.83,24801.43,Approved
2025-12,Operations,Marketing,61796.07,71849.77,10053.7,Approved
2025-12,Operations,Professional Fees,285751.85,277770.15,-7981.7,Additional Approval
2025-12,Operations,Utilities,69626.56,86362.35,16735.79,Approved
2025-12,Sales,Salaries,168898.81,176763.51,7864.7,Additional Approval
2025-12,Sales,Rent,51344.63,42738.3,-8606.33,Approved
2025-12,Sales,Travel,214410.22,210078.48,-4331.74,Approved
2025-12,Sales,IT Services,268335.71,226894.88,-41440.83,Approved
2025-12,Sales,Training,194772.87,231326.41,36553.54,Approved
2025-12,Sales,Marketing,89499.56,112755.16,23255.6,Approved
2025-12,Sales,Professional Fees,262899.78,315887.58,52987.8,Approved
2025-12,Sales,Utilities,166743.59,187690.31,20946.72,Approved
2025-12,Finance,Salaries,183320.6,171696.2,-11624.4,Approved
2025-12,Finance,Rent,110475.29,116298.48,5823.19,Approved
2025-12,Finance,Travel,227535.85,248764.22,21228.37,Additional Approval
2025-12,Finance,IT Services,213206.9,167294.58,-45912.32,Additional Approval
2025-12,Finance,Training,131570.66,117026.93,-14543.73,Approved
2025-12,Finance,Marketing,241286.73,214893.39,-26393.34,Approved
2025-12,Finance,Professional Fees,294543.65,252943.85,-41599.8,Approved
2025-12,Finance,Utilities,171368.26,169129.4,-2238.86,Approved
2025-12,IT,Salaries,89846.26,100727.37,10881.11,Approved
2025-12,IT,Rent,189074.66,174101.03,-14973.63,Approved
2025-12,IT,Travel,209531.46,263685.72,54154.26,Approved
2025-12,IT,IT Services,281203.82,218624.08,-62579.74,Approved
2025-12,IT,Training,117180.37,122092.78,4912.41,Approved
2025-12,IT,Marketing,92047.51,99198.18,7150.67,Approved
2025-12,IT,Professional Fees,295836.84,257795.9,-38040.94,Approved
2025-12,IT,Utilities,110524.45,87047.95,-23476.5,Approved
2026-01,Operations,Salaries,131112.2,113602.68,-17509.52,Approved
2026-01,Operations,Rent,283845.43,287847.7,4002.27,Approved
2026-01,Operations,Travel,266569.05,255022.25,-11546.8,Additional Approval
2026-01,Operations,IT Services,267035.97,287824.15,20788.18,Approved
2026-01,Operations,Training,208091.46,227986.09,19894.63,Approved
2026-01,Operations,Marketing,65904.72,55460.2,-10444.52,Approved
2026-01,Operations,Professional Fees,272366.38,238168.0,-34198.38,Additional Approval
2026-01,Operations,Utilities,197743.03,184212.62,-13530.41,Approved
2026-01,Sales,Salaries,109773.39,98326.4,-11446.99,Approved
2026-01,Sales,Rent,63789.64,64521.39,731.75,Approved
2026-01,Sales,Travel,203020.82,212161.82,9141.0,Additional Approval
2026-01,Sales,IT Services,289388.04,334573.11,45185.07,Additional Approval
2026-01,Sales,Training,56891.67,47379.21,-9512.46,Approved
2026-01,Sales,Marketing,123011.98,153959.34,30947.36,Approved
2026-01,Sales,Professional Fees,273222.62,247604.55,-25618.07,Approved
2026-01,Sales,Utilities,204994.19,237720.41,32726.22,Additional Approval
2026-01,Finance,Salaries,157497.84,201320.63,43822.79,Approved
2026-01,Finance,Rent,156672.35,124069.2,-32603.15,Additional Approval
2026-01,Finance,Travel,53967.93,48371.18,-5596.75,Approved
2026-01,Finance,IT Services,80809.57,73736.71,-7072.86,Approved
2026-01,Finance,Training,276704.39,292610.85,15906.46,Additional Approval
2026-01,Finance,Marketing,258616.98,313809.16,55192.18,Additional Approval
2026-01,Finance,Professional Fees,109493.9,117663.05,8169.15,Approved
2026-01,Finance,Utilities,230695.91,290376.94,59681.03,Approved
2026-01,IT,Salaries,238504.2,199179.01,-39325.19,Additional Approval
2026-01,IT,Rent,102270.28,79287.52,-22982.76,Approved
2026-01,IT,Travel,46194.83,42329.46,-3865.37,Approved
